SPEAKER_06 | 0:0:33.224 --> 0:0:37.38 |  Дякую.
SPEAKER_17 | 0:14:50.339 --> 0:14:55.553 |  Ні, краще на траву, на обтяжок, дякую. Людмила Васильівна, дякую за чай.
SPEAKER_21 | 0:15:1.105 --> 0:15:2.455 |  Я тобі макарони приділю.
SPEAKER_17 | 0:15:26.300 --> 0:15:27.937 |  Ще раз дякую за час, до побачення.
SPEAKER_21 | 0:15:28.612 --> 0:15:33.134 |  Нема за що. Олі, я макарони поставлю.
SPEAKER_17 | 0:15:53.958 --> 0:17:25.977 |  Суми на неї. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Дякую. Чому мене? Дякую за перегляд!
SPEAKER_18 | 0:17:27.142 --> 0:17:28.711 |  Там, за гаражами.
SPEAKER_17 | 0:17:34.195 --> 0:18:10.645 |  Дякую. Дякую за перегляд!
SPEAKER_05 | 0:18:17.632 --> 0:18:29.765 |  Михай грався, я не зліткувала, поруч чоловік пив воду, а Михай зник, і чоловік зник.
SPEAKER_17 | 0:18:30.338 --> 0:18:31.64 |  Який чоловік?
SPEAKER_05 | 0:18:31.368 --> 0:18:33.207 |  Я не повідаю.
SPEAKER_17 | 0:18:35.317 --> 0:18:36.177 |  Як він вихлядав?
SPEAKER_05 | 0:18:36.970 --> 0:18:40.160 |  Соліна, який кроватний ти був!
SPEAKER_17 | 0:18:44.142 --> 0:18:45.273 |  Обличчя ти пам'ятаєш?
SPEAKER_05 | 0:18:46.741 --> 0:18:49.19 |  Ні, лайковість не була.
SPEAKER_17 | 0:18:51.719 --> 0:18:53.255 |  Ти не бачила якоїсь машини поруч?
SPEAKER_05 | 0:18:53.677 --> 0:18:55.685 |  Я не пам'ятаю.
SPEAKER_17 | 0:19:4.510 --> 0:19:10.197 |  Якщо згадаєш, зателефонуєш мені? Номер у матері.
SPEAKER_18 | 0:20:6.273 --> 0:20:20.937 |  Підійдіть з підсвіченням, можна? Водники є? Ні, це не наші. А інтересні водники в одній?
SPEAKER_06 | 0:20:22.34 --> 0:20:33.560 |  Дякую за перегляд!
SPEAKER_34 | 0:20:30.488 --> 0:20:32.41 |  Ти його знаєш?
SPEAKER_18 | 0:20:32.41 --> 0:20:32.463 |  Дякую!
SPEAKER_11 | 0:20:41.879 --> 0:20:48.983 |  Що, поскинути? Так що, ти їдеш або ні?
SPEAKER_18 | 0:21:50.864 --> 0:21:51.404 |  Дякую.
SPEAKER_27 | 0:21:52.383 --> 0:21:53.75 |  Ну, поки.
SPEAKER_28 | 0:22:13.561 --> 0:22:46.484 |  Кольо! Кольо, холодно вже все? Коль, ти чуєш чи ні?
SPEAKER_32 | 0:22:49.488 --> 0:22:50.247 |  Мамо!
SPEAKER_19 | 0:23:8.675 --> 0:23:18.192 |  Мамо, візьми слухавку, я їм. Мамо, візьми слухавку.
SPEAKER_21 | 0:23:19.103 --> 0:25:55.906 |  Йду! Алло! Так, це я. Що, каже, то? Так, я запам'ятала. Добре. Дякую за перегляд! Дякую за перегляд! Дякую за перегляд! Дякую за перегляд!
SPEAKER_19 | 0:26:1.542 --> 0:26:2.690 |  Мамо, що сталося?
SPEAKER_21 | 0:26:24.155 --> 0:26:24.965 |  і усіх медитрусів.
SPEAKER_28 | 0:26:26.281 --> 0:26:35.258 |  – Оля, віддай. – Тобі не можна. Тобі не можна! Оля, вони сказали, що треба приїхати на впізнавання тіла, розумієш? Тіла!
SPEAKER_18 | 0:27:23.403 --> 0:27:29.967 |  Слухай, тут треба приїхати, щоб пізнати тіло. Так, напевно до моргу.
SPEAKER_19 | 0:27:34.895 --> 0:27:46.302 |  Мама на розмозі. Випила. Добре. Давай.
SPEAKER_18 | 0:28:35.341 --> 0:28:36.573 |  Зараз така прийде.
SPEAKER_15 | 0:29:21.950 --> 0:29:25.105 |  Це не михасик. Що?
SPEAKER_06 | 0:29:25.595 --> 0:29:26.118 |  Кхм.
SPEAKER_15 | 0:29:27.316 --> 0:29:28.244 |  Ценний мехасик.
SPEAKER_21 | 0:29:29.780 --> 0:29:32.918 |  Або я вже думала, що все пропало.
SPEAKER_25 | 0:30:6.128 --> 0:30:7.208 |  Ти його рекомендаєш?
SPEAKER_07 | 0:30:7.968 --> 0:30:8.947 |  Дякую.
SPEAKER_25 | 0:30:9.250 --> 0:30:16.321 |  У Ігоря є друг, майор кримінальної служби.
SPEAKER_21 | 0:30:17.620 --> 0:30:20.152 |  — Ти говорив з ним про сили? — Так, з ним бачився.
SPEAKER_26 | 0:30:23.392 --> 0:30:28.150 |  У них статистика є по цих випадках подібних.
SPEAKER_21 | 0:30:33.280 --> 0:30:35.305 |  Просив, я не знаю, говорив з ним якось.
SPEAKER_26 | 0:30:35.305 --> 0:30:37.820 |  Ти чуєш, у них статистика.
SPEAKER_21 | 0:30:35.558 --> 0:30:39.68 |  Чуєш, в них статистика.
SPEAKER_26 | 0:30:40.368 --> 0:30:40.942 |  Олюблені.
SPEAKER_03 | 0:30:56.45 --> 0:31:18.33 |  Ти не розумієш, що з цим казком сидіти. Ти не розумієш, що це все, що має казок. Ти чого думаєш? Ти подумаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок. Ти не думаєш, що це все, що має казок.
SPEAKER_21 | 0:31:38.519 --> 0:31:39.650 |  Передавай вітання мамі.
SPEAKER_18 | 0:31:41.33 --> 0:31:46.501 |  Передам. До побачення, Глена Васильівна. До побачення.
SPEAKER_21 | 0:33:2.17 --> 0:33:2.843 |  Дякую.
SPEAKER_17 | 0:36:44.851 --> 0:36:46.977 |  Котик, відкрой, я ключі до вас забавлю.
SPEAKER_29 | 0:37:11.463 --> 0:37:16.36 |  Звітиться і прийде царство.
SPEAKER_26 | 0:37:28.709 --> 0:37:29.367 |  Добрий день.
SPEAKER_17 | 0:37:44.420 --> 0:40:39.194 |  Вибачте, у зв'язку з чим мене викликали? Що від мене потрібно? А чого ви так нервуєте? Ви розумієте, я перший раз в такій ситуації. Знаю. Ну, звісно, ви знаєте. Я дуже багато чого про вас знаю. Робота у вас така. А що не знаю, то ви мені самі розкажете, так? Все, що в моїх силах. Це дуже добре. Я дуже лояльний і законослухняний громадянин. Ви це знаєте? Прізвищем я по-батькові. Що? Ви не дочуваєте? Прізвищем я по-батькові. Комаров Іван Давидович. 1968 року народження. Безпартійний, одружений, має доньку, держслужбовець. Що ще вас цікавить? Мене в чомусь підозрюють? А що ви робили в день 26 червня цього року? Працював, як завжди. А по годинах, докладно? А в чому мене підозрюють? Що ви робили 26 червня по годинах, докладно? Це який був день тижня? Четвер? Ні, це був понеділок. А, понеділок, тоді все ясно. В понеділок була сесія міськради, і з 10 до 19 я простерчав там, в мерії. Навіть на обід не виходив. Ви абсолютно впевнені, що 26 червня цього року з 10 до 19 години ви провели в стінах міської ради? Абсолютно. Абсолютно. Ви стверджуєте це? Так. Давайте вашу повістку. Дякую. Вибачте, що затримали. Повістку передасте черговому. Я все розумію. А в чому все-таки випрос був, якщо не секрет? Немає права цього розголошувати. Ага. Ну, тоді успіхів у вашому нелегкому ділі. На все добре. Прощайте.
SPEAKER_31 | 0:41:29.414 --> 0:41:30.578 |  Ти з Дариком коли гуляла?
SPEAKER_13 | 0:41:31.51 --> 0:41:31.675 |  Та ні, так.
SPEAKER_31 | 0:41:32.30 --> 0:41:32.637 |  Коли не треба?
SPEAKER_13 | 0:41:32.958 --> 0:41:35.118 |  Ну от недавно, ну що з цим може статися?
SPEAKER_11 | 0:41:53.377 --> 0:41:55.874 |  Пішли, присинемо голову. Йдемо.
SPEAKER_13 | 0:41:57.798 --> 0:42:1.426 |  Підійди сюди. Підійдемо, підійдемо.
SPEAKER_06 | 0:42:53.485 --> 0:42:58.396 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_11 | 0:42:59.3 --> 0:43:6.378 |  Че, хвастаєшся? Валимо, швидко, валимо. Часові льоти приїдуть, валимо швидко.
SPEAKER_15 | 0:43:47.148 --> 0:43:47.570 |  Новини на Суспільному. Харків.
SPEAKER_21 | 0:43:50.168 --> 0:43:52.75 |  Дякую за перегляд!
SPEAKER_17 | 0:43:53.172 --> 0:43:54.50 |  Увага на екран!
SPEAKER_21 | 0:43:54.505 --> 0:43:54.995 |  Дякую!
SPEAKER_28 | 0:43:54.995 --> 0:43:57.695 |  Не знаєш, чується, що й батька не вистачає.
SPEAKER_18 | 0:44:5.137 --> 0:44:5.643 |  Прошу.
SPEAKER_15 | 0:44:9.980 --> 0:44:10.418 |  Привіт.
SPEAKER_18 | 0:44:11.262 --> 0:44:11.735 |  Привіт.
SPEAKER_15 | 0:44:16.848 --> 0:44:17.455 |  Що робиш?
SPEAKER_18 | 0:44:18.502 --> 0:44:19.328 |  Та так, нічого.
SPEAKER_15 | 0:44:27.952 --> 0:44:47.20 |  Знаєш, давай збирайся, даю тобі п'ять хвилин. Давай, погостюєш у мене, ну, я запрошую. Ну, чого сидиш? Давай швидко, там, що там, паста, щітка, ну.
SPEAKER_19 | 0:45:10.477 --> 0:45:10.848 |  Дякую.
SPEAKER_15 | 0:45:11.135 --> 0:45:18.593 |  Що? Що, Володь?
SPEAKER_19 | 0:45:26.660 --> 0:45:28.128 |  Все, тепер можемо їхати.
SPEAKER_15 | 0:45:41.459 --> 0:45:42.117 |  Ми прийшли.
SPEAKER_07 | 0:45:43.298 --> 0:45:43.687 |  Дякую!
SPEAKER_15 | 0:45:44.294 --> 0:46:14.281 |  Ну так, ми давай в кімнату. Я зараз піду. Оля, це моя Леся. Здрастуй.
SPEAKER_24 | 0:46:13.268 --> 0:46:29.249 |  – Здраствуй. – Це Оля. О, Леся. Давно хотіла з тобою познайомитись. Я не думала, що ти така доросла. Взагалі, ми можемо бути як подруги, якщо хочеш.
SPEAKER_18 | 0:46:30.93 --> 0:46:30.683 |  Чому б і ні?
SPEAKER_24 | 0:46:30.920 --> 0:46:38.75 |  Чудово. У мене там все готово, ти роздівайся, мабуть, ми підходимо.
SPEAKER_15 | 0:46:35.830 --> 0:46:36.286 |  Роздівайся.
SPEAKER_18 | 0:46:36.286 --> 0:46:36.623 |  Навірно.
SPEAKER_15 | 0:46:36.623 --> 0:46:38.513 |  Добре, ми ще півмінуту, так?
SPEAKER_18 | 0:46:43.323 --> 0:46:43.981 |  Вона хороша.
SPEAKER_15 | 0:46:46.107 --> 0:46:57.211 |  Ти поки що у мене побудеш тут, це мій кабінет, тут місця мало, але вон я працюю і тут халтури в основному, але я писати почав, от бачиш.
SPEAKER_24 | 0:46:57.548 --> 0:46:58.443 |  Ні-ні-ні!
SPEAKER_15 | 0:46:59.17 --> 0:47:1.143 |  Ну шо, отак вона катається, між іншим.
SPEAKER_24 | 0:47:1.92 --> 0:47:2.830 |  Так я нормально катаюсь?
SPEAKER_15 | 0:47:2.122 --> 0:47:3.100 |  Що тобі мазурить?
SPEAKER_24 | 0:47:3.708 --> 0:47:5.497 |  Ну що, нормально?
SPEAKER_15 | 0:47:4.957 --> 0:47:8.62 |  Нормально. Треба, щоб ти повчила.
SPEAKER_24 | 0:47:5.851 --> 0:47:6.526 |  Так.
SPEAKER_19 | 0:47:8.399 --> 0:47:12.263 |  — А ти де? Ти їздиш? — Де? Я давно вже на лежах не стояла.
SPEAKER_15 | 0:47:12.449 --> 0:47:18.659 |  Вона їздить, вона не просто їздить, вона, як би не музика, взагалі б кандидатом в майстри спорту була, або й майстром спорту.
SPEAKER_24 | 0:47:18.625 --> 0:47:26.337 |  Та ладно. Слухай, тоді точно навчи мене. Він же ж з мене завжди сміється. Угу. Так, а не вчить. Та який з мене вчитель?
SPEAKER_15 | 0:47:19.199 --> 0:47:19.722 |  Мда.
SPEAKER_24 | 0:47:26.742 --> 0:47:30.877 |  Давай, коли Протасів запрацює, спробуємо. Або я там буду заїжджати за тобою, не знаю.
SPEAKER_15 | 0:47:31.180 --> 0:47:32.7 |  На моїй машині.
SPEAKER_24 | 0:47:32.7 --> 0:47:38.791 |  На твоїй машині. Ще я можу тебе водити навчити, якщо ти ще не вмієш водити.
SPEAKER_19 | 0:47:39.398 --> 0:47:40.107 |  Ні, не вмію.
SPEAKER_24 | 0:47:40.107 --> 0:48:0.593 |  О, ну хоч щось ти не вмієш. Тоді домовились, значить ти на лежах мене вчиш, а я тебе водитиму, так? Домовились. Ми домовились. Понятно? А я? А що ти? Ну, теж би чимось научився. Ой, ми не будемо тебе вчити. Бо ти лінивий, потім ти недолугий, потім ти потворний, ну і таке інше.
SPEAKER_02 | 0:48:1.66 --> 0:48:2.11 |  Так, звісно.
SPEAKER_24 | 0:48:1.758 --> 0:48:2.78 |  Не?
SPEAKER_02 | 0:48:2.618 --> 0:48:4.390 |  Я зараз тобі покажу, який я.
SPEAKER_24 | 0:48:3.800 --> 0:48:5.335 |  Ну, ну, поки що.
SPEAKER_02 | 0:48:4.897 --> 0:48:7.40 |  Поклони, не долови.
SPEAKER_24 | 0:48:7.850 --> 0:48:26.817 |  Давай-давай-давай. Так, Ігор, Ігор-Ігор, не мулькайся. Ну що ти? Вибач. А зараз же є в школах це сексуальне виховання? Так. А, тоді все гаразд. Вона навіть іспити здає.
SPEAKER_15 | 0:48:25.265 --> 0:48:26.328 |  Мені ще в сахарі.
SPEAKER_24 | 0:48:27.728 --> 0:48:28.235 |  Ти чу?
SPEAKER_15 | 0:48:28.235 --> 0:48:30.530 |  Яке сексуальне виховання? Ну, перестань.
SPEAKER_24 | 0:48:28.268 --> 0:48:31.880 |  Яке сексуальне виховання, ну перестань, вона тобі щось каже.
SPEAKER_15 | 0:48:31.103 --> 0:48:35.52 |  Вона тоді ще скаже зараз, що у них практичне заняття і лабораторні роботи.
SPEAKER_24 | 0:48:34.90 --> 0:48:35.69 |  на роботу.
SPEAKER_15 | 0:48:35.69 --> 0:48:35.390 |  Дякую.
SPEAKER_24 | 0:48:36.470 --> 0:48:37.921 |  Хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-
SPEAKER_15 | 0:48:37.921 --> 0:48:38.326 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:48:39.541 --> 0:48:45.447 |  Проснувся? А я тобі говорила, що ти тише розмовляй. Ну, давай, посмотри.
SPEAKER_15 | 0:48:45.447 --> 0:48:47.152 |  Тихо, не кричи, паша.
SPEAKER_24 | 0:48:48.485 --> 0:48:48.738 |  Нехай вам подобається!
SPEAKER_22 | 0:48:52.973 --> 0:48:59.707 |  Проснувся. А ти поздоровуйся з тьотєю, поздоровуйся. Познайоміться, це тьотя Оля.
SPEAKER_06 | 0:48:53.41 --> 0:48:55.977 |  Проснувся. А ти поздоровувався з тетєю.
SPEAKER_15 | 0:48:55.977 --> 0:48:56.804 |  Здоров'я!
SPEAKER_22 | 0:49:0.365 --> 0:49:5.461 |  О, клас! А це Колючка. Ну що, по післям підемо, так?
SPEAKER_15 | 0:49:2.491 --> 0:49:6.406 |  Олечка, ну що, по післям підемо, так?
SPEAKER_22 | 0:49:6.406 --> 0:49:6.845 |  Дякую.
SPEAKER_15 | 0:49:6.423 --> 0:49:6.760 |  Дякую.
SPEAKER_22 | 0:49:8.127 --> 0:49:11.975 |  Ну добре, підемо тоді спати. Зараз батько уложить тебе спальник.
SPEAKER_15 | 0:49:12.430 --> 0:49:15.856 |  Спокійно лежу, давай приготуй щось поїсти.
SPEAKER_24 | 0:49:15.940 --> 0:49:17.459 |  Я приготую, а ти розумієш.
SPEAKER_06 | 0:49:21.3 --> 0:49:32.140 |  Папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа
SPEAKER_24 | 0:49:34.638 --> 0:49:37.186 |  Ну, давай ще ложечку скушаємо. Ну, будь ласка.
SPEAKER_15 | 0:49:37.743 --> 0:49:39.143 |  Ну так, маленьку.
SPEAKER_22 | 0:49:37.878 --> 0:49:49.842 |  Давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-д
SPEAKER_07 | 0:49:46.687 --> 0:49:46.940 |  Дякую!
SPEAKER_00 | 0:49:46.940 --> 0:49:49.32 |  Колючка, молодець? Молодець!
SPEAKER_24 | 0:49:49.32 --> 0:49:49.353 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:49:50.450 --> 0:49:52.593 |  Ні, він їсть не будь-який, точно.
SPEAKER_24 | 0:49:53.302 --> 0:49:55.968 |  Ну, ну, ну на олі відвіляється і все.
SPEAKER_15 | 0:49:56.930 --> 0:49:59.680 |  Олю, сходи розбери речі і там...
SPEAKER_24 | 0:49:59.73 --> 0:50:18.884 |  Все-все-все, добре, ми не їмо, не їмо, заспокійся, все нормально, все добре. Ти, звісно, дипломат, Ігор Васильович. Добре, добре, все, ми не заставляємо, добре, зараз. Ну, ще ти образовий, так?
SPEAKER_18 | 0:50:20.48 --> 0:50:21.10 |  Та все нормально.
SPEAKER_24 | 0:50:22.917 --> 0:51:17.153 |  Та добре, трішки образилась, я бачу. Так і будеш тут сидіти? Слухай, давай ми на чистоту поговоримо, а? Ти ж взросла дівчинка, повинна все розуміти. У твоєго батька інша сім'я, він сам цього ще не розуміє. намагається всіх обіграти, всіх підтримувати. А в нього це поки погано виходить. Тоді допомоги йому. Ти ж хочеш з ним друзями залишатися. Зупиняй ці дитячі вихідки. Вести себе як взрослий людина. Ну, справді, просто по-іншому це ніяк не вийде. Ти розумієш мене?
SPEAKER_18 | 0:51:17.947 --> 0:51:18.588 |  Ти пішла, ти?
SPEAKER_24 | 0:51:20.630 --> 0:51:26.924 |  Що? Треба ж. Я взагалі думала, що ти умніша.
SPEAKER_18 | 0:51:27.143 --> 0:51:28.105 |  Де пішла ти?
SPEAKER_15 | 0:52:6.412 --> 0:52:7.576 |  Так, ось, і це що там?
SPEAKER_19 | 0:52:8.32 --> 0:52:9.27 |  Та то я більше не буду.
SPEAKER_15 | 0:52:9.179 --> 0:52:10.276 |  Збирайся, ти досі.
SPEAKER_19 | 0:52:9.702 --> 0:52:10.647 |  Я більше не буду.
SPEAKER_15 | 0:52:11.592 --> 0:52:12.115 |  Сумка де?
SPEAKER_19 | 0:52:12.301 --> 0:52:16.132 |  Я не буду більше, я тут залишусь, я більше не буду, я тут залишусь!
SPEAKER_15 | 0:52:13.482 --> 0:52:17.650 |  Я тут залишусь, я більше не буду, я тут залишусь. Не залишишся ти тут, давай збирайся.
SPEAKER_03 | 0:52:18.663 --> 0:52:25.582 |  Я не буду! Я більше не буду! Леся, чого стараєш сумку?
SPEAKER_15 | 0:53:26.450 --> 0:53:31.343 |  Олю, ти куди? Олю, Олю, дура ти!
