SPEAKER_20 | 0:0:36.363 --> 0:0:38.658 |  Незаборонені речі, наркотики.
SPEAKER_22 | 0:4:53.318 --> 0:4:54.500 |  А Мирослава приїхала?
SPEAKER_24 | 0:4:55.107 --> 0:5:2.684 |  Ні, а Миросі буду на світелі. А твій Митро великим газдою зробився, таку будову затіяв.
SPEAKER_18 | 0:5:3.680 --> 0:5:4.574 |  Опа!
SPEAKER_13 | 0:5:7.915 --> 0:5:9.12 |  Так зараз все сама побачиш.
SPEAKER_21 | 0:5:8.911 --> 0:5:9.333 |  Ні.
SPEAKER_13 | 0:5:9.890 --> 0:5:13.298 |  Давай. Всіна підвезу.
SPEAKER_09 | 0:5:13.197 --> 0:5:18.985 |  Нє-нє-нє, Юрко, я дякую, але то хочу все сама подивитись. Два роки не було, нє?
SPEAKER_13 | 0:5:19.70 --> 0:5:19.863 |  Ну ти я заїду?
SPEAKER_27 | 0:8:31.107 --> 0:8:32.727 |  Бонжорно! Каме стай?
SPEAKER_26 | 0:8:38.144 --> 0:8:52.32 |  Дарина! Господи, перелякана. Не впізнала, думала, що ми тебе так залишимо тут саму. Не впізнала. Я тіталійкою стала. Ну що, давай торбу. Чувствуймо. Пішли. Ой, ти чекай, чекай. Воно важка.
SPEAKER_00 | 0:8:44.945 --> 0:8:45.755 |  Само.
SPEAKER_27 | 0:8:52.910 --> 0:9:4.672 |  О-о-о! Трафіко проклятий! Що? Ну, дуже багато машин. Італійською. Трафіко. Трафіко. Ну що, довго чекала?
SPEAKER_26 | 0:9:5.178 --> 0:9:8.283 |  Ні-ні, а тут трошки знизу автобус приїхав раніше.
SPEAKER_12 | 0:9:8.705 --> 0:9:20.483 |  Отже, ми маємо стабільний час, згодом з усією ревірацією, але якщо ви в автомобілі, то ми сподіваємося залишитися на перегляді радіо «Ла Собрана» з Геноми, з новинами на трапі.
SPEAKER_27 | 0:9:21.513 --> 0:9:27.790 |  Катерина, а як там мої? Як Юрко? Слава Богу, все добре.
SPEAKER_09 | 0:9:28.668 --> 0:9:39.113 |  Вітання тобі всі передавали. Сказав, щоб не хвилювалася, бо гроші твої тримають постійно. Ну, та й ме пити. Тож, Юрко питав, коли ти приїдеш.
SPEAKER_12 | 0:9:41.830 --> 0:9:44.918 |  Лора, Ліна, вен діабло.
SPEAKER_27 | 0:9:45.593 --> 0:9:48.614 |  Дякуємо, інвіграторам!
SPEAKER_12 | 0:9:49.205 --> 0:9:49.643 |  Окей.
SPEAKER_27 | 0:9:57.457 --> 0:10:34.379 |  Ти Ліною називай. А, слухай, тут, в Італії, мене звати Ліна. Галію, щоб ти мене не назвала. Чуєш? Добре. Давай по справі. Я тобі знайшла роботу. Це хороша робота. Ти сама побачиш. І якщо порахувати, то за виклик, за роботу, за ну все про все, ти повинна будеш мені дати 500 євро. Це як для подруги, це по-божому. У мене немає зараз таких грошей. Хто тебе зараз віддав? Ти заробиш їх досить.
SPEAKER_12 | 0:10:34.379 --> 0:10:48.436 |  Дякую за перегляд!
SPEAKER_17 | 0:10:49.111 --> 0:11:30.725 |  Це наша будівля. Зараз я вам розповім, як вона зберігалася. На одній стороні кухня, а на іншій – кухонний салон, а на іншій – кухонний салон. А на іншій стороні – кухонний салон, а на іншій – кухонний салон. А, я не знаю, чи ви дізнаєтеся, що на дівчині, на дівчині, є кортіл, який має бути зберіганий. Я повернувся сюди нещодавно, тож я не особливо звичайно звичайний. Також я і мама не звичайно звичайний, бо ми не мали жінки. Але мама почала потребувати речі, тому ми вважали, що це була гарна ідея.
SPEAKER_04 | 0:11:31.113 --> 0:11:35.855 |  І ти маєш гарну ідею. І як називається?
SPEAKER_27 | 0:11:36.74 --> 0:11:37.930 |  Сі кемо да ріна, синьора?
SPEAKER_04 | 0:11:39.398 --> 0:11:40.6 |  Дарина.
SPEAKER_27 | 0:11:41.558 --> 0:11:59.750 |  Даріна, Ви знаєте все, чистити, кушати, стирати, лікувати. Тільки не говорите на італійську. Але я почну швидко. Дуже швидко.
SPEAKER_17 | 0:12:2.602 --> 0:12:13.840 |  Мене звати Алесандро Треві́со. Треві́со — ім'я, і мама — сініора Вітто́рія. Вона живе у п'яній лінії, потім, якщо хочете, можемо зустрітися разом.
SPEAKER_27 | 0:12:14.532 --> 0:13:13.38 |  – Вабене. – Вабене. Крація. Ну? О, ну що я тобі казала? Санаторій? Ти би бачила, де я попереду жила. Слухай, головне, щоб ти казала «сі, сеньора». «Сі, сеньора» і все. Вони спочатку не розумітимуть, а то нічого, будуть кричати. Але ти роби своє і кажи «сі». Так, вони потім привчаться. Так, на тобі дарунок за рахунок фірми. Я ще по ньому вчилася. Ну, чого ти боїшся? Вони це ті горшки ліпили. Розумієш, ти головне повинна їм показати, що ти мієш гарно працювати. Що ти швидка до роботи. Ну все, я повинна бігти, мені купа роботи. Давай, давай вже до роботи, ти ж не на курорт приїхала. Все, давай, папа.
SPEAKER_17 | 0:14:37.784 --> 0:15:10.893 |  Даріна, будь ласка, даруй мені, будь ласка, кафе, будь ласка. Кафе. А, кафе. Дякую. Ні, ні, ні, не з цим. Отже, машина витягнута. Так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так,
SPEAKER_15 | 0:15:10.977 --> 0:15:33.640 |  Залиши тут. Відпочинку. Двічі. Добре. Натискай. Двічі.
SPEAKER_11 | 0:15:44.423 --> 0:15:45.14 |  Дякую за перегляд!
SPEAKER_04 | 0:15:51.443 --> 0:15:53.806 |  Зараз я зрозуміла, чому ти хотів лабаданте.
SPEAKER_17 | 0:15:54.751 --> 0:16:3.290 |  Мама, ти не знаєш нічого. Ти треба тільки навчатися якихось речей. Ти залишився тоді, мама.
SPEAKER_04 | 0:16:4.100 --> 0:16:7.998 |  Але також вибачаєш, що зробила баданця цього ранку.
SPEAKER_17 | 0:16:9.702 --> 0:16:13.820 |  Лей нон е он абаданте, ci да соло на мано. Пой, пер фаворе, нон даванте а лей.
SPEAKER_04 | 0:16:14.174 --> 0:16:19.591 |  Він не розуміє нічого. Я маю залишитися в моєму будинку.
SPEAKER_17 | 0:16:20.688 --> 0:16:22.527 |  Хочу згадати, що це моя будинок.
SPEAKER_04 | 0:16:22.814 --> 0:16:27.623 |  І я б хотіла згадати, що в твоїй будинку залишилася твоя жінка.
SPEAKER_17 | 0:16:29.328 --> 0:16:41.275 |  Ти знаєш, що ми зробимо? Ти залишишся жити тут, однаково. І подивимось, як тебе тут вийде. Ти подобаєшся цьому? Доброго дня, Доніна.
SPEAKER_04 | 0:16:56.868 --> 0:17:2.504 |  Ця кухня ще моя, і тут ти маєш поїхати, якщо я дам тобі допомогу.
SPEAKER_03 | 0:17:4.816 --> 0:17:14.249 |  тільки, коли я присутня. Зрозуміла? Так, сьогодні. Ти – батьківщина.
SPEAKER_04 | 0:17:15.970 --> 0:17:24.998 |  Ти зрозуміла? Так. Відкривайся. Відкривайся. Відкривайся.
SPEAKER_03 | 0:18:5.684 --> 0:18:6.983 |  Пуліши, який хвилюється.
SPEAKER_08 | 0:18:13.261 --> 0:18:13.868 |  Так, сьогодні.
SPEAKER_17 | 0:18:38.928 --> 0:18:42.556 |  Ей, Даріна. Коми стаїть?
SPEAKER_08 | 0:18:43.653 --> 0:18:45.374 |  Так, сьогодні.
SPEAKER_17 | 0:18:45.998 --> 0:18:46.707 |  Сисіньо.
SPEAKER_14 | 0:20:7.927 --> 0:20:28.565 |  А я думав, то-то всередині. Думав, мала приїхала. Її давно не було. Це три.
SPEAKER_07 | 0:20:30.269 --> 0:20:34.66 |  Я вже п'ять днів приїхала, а тебе нема.
SPEAKER_14 | 0:20:35.551 --> 0:20:40.327 |  Не встигла на поріг вступити в жепля.
SPEAKER_25 | 0:20:43.330 --> 0:20:44.22 |  Чопля.
SPEAKER_09 | 0:20:46.807 --> 0:20:50.907 |  Просто тебе десь носить, а…
SPEAKER_21 | 0:20:55.430 --> 0:20:56.408 |  А в мене тих днів.
SPEAKER_14 | 0:21:3.682 --> 0:21:5.217 |  Вєті, Теліль, хвистал.
SPEAKER_25 | 0:21:9.605 --> 0:21:12.963 |  Навіть пахнеш так. Чого, маєк, ти пахнеш.
SPEAKER_14 | 0:21:14.718 --> 0:21:31.103 |  Та, я сьогодні випив. Роботні. Туристи приїздили. Я їх на полювання водив. Великий люди.
SPEAKER_18 | 0:21:38.731 --> 0:21:39.592 |  Ха-ха-ха!
SPEAKER_14 | 0:21:49.312 --> 0:21:58.542 |  Нашому новому будинку, чувак. Їм сподобалось.
SPEAKER_25 | 0:21:59.116 --> 0:22:0.145 |  Ну, царпина.
SPEAKER_14 | 0:22:3.773 --> 0:22:24.867 |  Як ти хочеш. Бачила, що я набудував? А ти, яна, ідь. Вона всі роки, мама зоря.
SPEAKER_08 | 0:24:6.775 --> 0:24:22.98 |  Миросю, привіт, сонечко, це мама. Я на хвилинку, не можу до тата дозвонитись, а як він там? А, добре, а ти? Вчися, вчися, сонечко, вчися, добре. А в мене нормально, так.
SPEAKER_09 | 0:24:23.532 --> 0:24:24.730 |  Гроші вже скоро перейшли.
SPEAKER_08 | 0:24:26.283 --> 0:24:27.886 |  І ти, Лісько, починай потроху розуміти.
SPEAKER_09 | 0:24:30.839 --> 0:24:34.231 |  Так, добре. Сеньори в мене хороші.
SPEAKER_05 | 0:24:35.665 --> 0:24:39.614 |  Що ти робиш, а? Як ти можеш? У моєй будинку?
SPEAKER_09 | 0:24:40.2 --> 0:24:40.272 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:24:40.458 --> 0:24:41.926 |  І тут така серія, що я зі сейфом.
SPEAKER_09 | 0:24:40.913 --> 0:24:41.825 |  До зустрічі!
SPEAKER_05 | 0:24:42.938 --> 0:24:52.253 |  Ма ке коза вонє, ке коза церкі? Е? Ке коза? Ке коза е куеса? Коза? Мама! Ке па? Ма коза Озіро?
SPEAKER_18 | 0:24:46.381 --> 0:24:46.735 |  Дякую!
SPEAKER_09 | 0:24:46.735 --> 0:24:47.967 |  Що? Що це?
SPEAKER_02 | 0:24:47.967 --> 0:24:48.305 |  Квейс.
SPEAKER_16 | 0:24:49.283 --> 0:24:53.553 |  Мама, а що я роблю? Вона питає.
SPEAKER_05 | 0:24:54.160 --> 0:24:55.628 |  Він плакав!
SPEAKER_16 | 0:24:55.38 --> 0:24:56.557 |  Мамо, а про що ти підаєш? Що ти зробив?
SPEAKER_05 | 0:24:56.759 --> 0:25:0.674 |  Я не робила нічого, я телефонувала, я її переглядаю всю вечір.
SPEAKER_18 | 0:25:0.674 --> 0:25:0.961 |  Дякую!
SPEAKER_16 | 0:25:0.961 --> 0:25:8.133 |  Забирайся вивчати! Ти стаєш рідикілим! Йди, як в офіційному! Йди! Мама, ти йди додому, ми поговоримо завтра.
SPEAKER_18 | 0:25:8.656 --> 0:25:9.196 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:25:10.799 --> 0:25:14.495 |  Даріна, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра, віра
SPEAKER_06 | 0:25:14.39 --> 0:25:14.393 |  Дякую.
SPEAKER_16 | 0:25:15.119 --> 0:25:15.811 |  Сєдіті.
SPEAKER_06 | 0:25:15.170 --> 0:25:37.563 |  Сідайте, сідайте. Баста, сідайте, Баста. Баста, Баста.
SPEAKER_18 | 0:25:33.445 --> 0:25:34.87 |  Хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-хі-
SPEAKER_16 | 0:25:34.87 --> 0:25:46.540 |  Добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре.
SPEAKER_06 | 0:25:46.540 --> 0:25:49.88 |  Я тилипу дубал.
SPEAKER_17 | 0:25:49.662 --> 0:25:53.662 |  Тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс, тсс,
SPEAKER_06 | 0:25:54.742 --> 0:26:2.420 |  Я стою, але там відзвонила. Я телефонувала в Україну, додому. Мені треба… Я захотіла почути.
SPEAKER_16 | 0:26:2.943 --> 0:26:4.748 |  Я розумію. Італіанською.
SPEAKER_06 | 0:26:5.761 --> 0:26:11.347 |  Так, я телефоную. Це будинок України.
SPEAKER_17 | 0:26:11.212 --> 0:26:12.140 |  Свій телефон доказав.
SPEAKER_06 | 0:26:11.532 --> 0:26:15.734 |  Віля, Віля, Віля.
SPEAKER_17 | 0:26:16.240 --> 0:26:16.966 |  Твоя дитина?
SPEAKER_06 | 0:26:17.50 --> 0:26:17.624 |  Я вірю.
SPEAKER_17 | 0:26:18.12 --> 0:26:18.265 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:26:19.25 --> 0:26:21.623 |  Я на одну хвилинку тільки поцілила, я так хотіла її.
SPEAKER_17 | 0:26:21.691 --> 0:26:22.940 |  Я не знав, що в мене є дитина.
SPEAKER_06 | 0:26:26.112 --> 0:26:27.547 |  У мене вдома дочка.
SPEAKER_17 | 0:26:28.120 --> 0:26:28.812 |  Тобто, вона філія?
SPEAKER_06 | 0:26:28.812 --> 0:26:29.133 |  Дякую.
SPEAKER_17 | 0:26:37.992 --> 0:26:39.697 |  Стай кальма, я не б'як.
SPEAKER_15 | 0:26:39.950 --> 0:26:40.507 |  Дякую.
SPEAKER_17 | 0:26:43.763 --> 0:26:44.945 |  Кому сі кема то філля?
SPEAKER_06 | 0:26:45.97 --> 0:26:47.780 |  Зі всіх я бігла слава.
SPEAKER_17 | 0:26:48.505 --> 0:26:49.349 |  Міру слава!
SPEAKER_06 | 0:26:49.518 --> 0:26:50.24 |  Вірусно.
SPEAKER_17 | 0:26:51.458 --> 0:27:3.794 |  Доволі важко, не піщайся, не тримайся. Я теж дитина, я, хочеш побачити? Моя дитина.
SPEAKER_15 | 0:27:15.252 --> 0:27:19.184 |  Глянь, яка красива. Софія.
SPEAKER_21 | 0:27:21.175 --> 0:27:21.428 |  Будь ласка.
SPEAKER_15 | 0:27:23.842 --> 0:27:24.938 |  Гадай, який сміх.
SPEAKER_17 | 0:27:29.275 --> 0:27:33.38 |  Вона – маленька дитина, а ти – ні. Тому не пігай.
SPEAKER_16 | 0:27:33.562 --> 0:27:34.490 |  Не пігайте.
SPEAKER_17 | 0:27:36.835 --> 0:27:41.442 |  Відпочивай і не плач. Тільки ліки.
SPEAKER_25 | 0:27:57.35 --> 0:28:0.798 |  Аль, слухай, можна мені якусь роботу помилити?
SPEAKER_27 | 0:28:2.958 --> 0:28:9.488 |  Що, стара допікає? Ти, може, ця яка, помідору простає.
SPEAKER_09 | 0:28:9.995 --> 0:28:15.884 |  Галь, це що це? Я просто подумала, може, є щось таке ліпше.
SPEAKER_27 | 0:28:17.572 --> 0:28:55.321 |  Ліпше. Можемо пошукати і ліпше, іншої роботи, якщо в тебе є 300 євро зайвих. У мене таких грошей немає. Чесно кажучи, Дарина, ти мені ще за цього винна. Валя, відпрацюй все, тобі віддам, ти ж знаєш. Я розумію, що дуже важко. Так важко, що хочеться вийти. Я знаю, всім важко, і всі погодилися без цього. Терпи. Потім буде легше. Звикнеш. Дякую за перегляд!
SPEAKER_09 | 0:29:4.906 --> 0:29:10.728 |  Слухай, а що таке баданки? Мене так старо називають.
SPEAKER_27 | 0:29:13.259 --> 0:30:30.277 |  Вони всі нас так називають. Це прибиральниця, покоївка, прислуга. Наймачка, одним словом. В наймах ми у них. Пішли. Як на небі, як і на землі, приплач на суші, дай нам соні, і прости нам крові не наші, як і ми прощаємо на землі. Я тебе не запрошую. Ну, ти розумієш.
SPEAKER_14 | 0:30:57.243 --> 0:31:14.827 |  Що спиш, припшилася там в Італії? Підімо будову покажу. Прямо тут в камінні шашлик смажимо. Гарно покладеться.
SPEAKER_07 | 0:31:20.817 --> 0:31:22.32 |  Якось тут темно, нє?
SPEAKER_14 | 0:31:22.572 --> 0:31:23.298 |  Чотири.
SPEAKER_07 | 0:31:23.298 --> 0:31:30.48 |  Ну, не знаю. Та й ті морди. Лячно.
SPEAKER_14 | 0:31:30.622 --> 0:31:50.146 |  Чого ляшно? Це як у Занку яких. Трофей. Людям подобається. Файний дракон.
SPEAKER_07 | 0:31:51.428 --> 0:31:51.766 |  Ваня.
SPEAKER_14 | 0:31:52.795 --> 0:32:1.739 |  Все, крісло тисатиму, щоб люди на ганку сиділи, по вітрям дихали. Все заробиш, альтанку вон зроблену, баню.
SPEAKER_18 | 0:32:2.414 --> 0:32:2.667 |  Дякую.
SPEAKER_14 | 0:32:3.545 --> 0:32:7.679 |  Я вже фундамент залив, трубу під столиковий муравій,
SPEAKER_09 | 0:32:10.160 --> 0:32:10.767 |  Де туалет?
SPEAKER_14 | 0:32:11.695 --> 0:32:12.387 |  Я не розумію.
SPEAKER_09 | 0:32:13.231 --> 0:32:13.518 |  Нехай.
SPEAKER_14 | 0:32:14.24 --> 0:32:14.328 |  Ха?
SPEAKER_09 | 0:32:18.614 --> 0:32:19.255 |  Дмитро Тишун.
SPEAKER_14 | 0:32:19.559 --> 0:32:19.829 |  Дякую.
SPEAKER_09 | 0:32:20.318 --> 0:32:23.795 |  При своєму розумі, втирючи в туалет посеред двору, воно смердітиме.
SPEAKER_14 | 0:32:23.879 --> 0:32:24.200 |  Так.
SPEAKER_09 | 0:32:24.436 --> 0:32:24.807 |  Ага.
SPEAKER_14 | 0:32:25.870 --> 0:32:32.468 |  Тобі з твоєї талії відніж, як мені. З мене люди ходили, нічого, все їм добре було.
SPEAKER_09 | 0:32:32.637 --> 0:32:47.234 |  До чого тут Італія? Чого не розумієш? Чого не бачиш, який зараз турист пішов? Культурний. Йому не тільки випити треба. Йому треба, щоб зручності були, щоб все було в хаті. Душ, туалет, вода підведена.
SPEAKER_01 | 0:32:48.854 --> 0:32:56.465 |  Юрку! Купив цей…
SPEAKER_21 | 0:33:11.939 --> 0:33:12.547 |  Купив!
SPEAKER_14 | 0:33:16.968 --> 0:33:26.131 |  Як його? Мотоблок! Мотоблок! Курт, чима! А що до нього, ключі треба?
SPEAKER_11 | 0:33:28.342 --> 0:33:32.527 |  На, бався. Та як?
SPEAKER_27 | 0:33:34.349 --> 0:33:36.239 |  Нормально. Пішли.
SPEAKER_08 | 0:34:2.125 --> 0:34:3.172 |  На, ось.
SPEAKER_11 | 0:34:5.180 --> 0:34:15.254 |  От і добре. Буде, що за мотоблок віддати. Та як вони там?
SPEAKER_09 | 0:34:16.705 --> 0:34:19.557 |  Добре, але знаєш, робота в мене тяжка.
SPEAKER_11 | 0:34:20.637 --> 0:34:24.586 |  Найтяжка в тебе, легка. Скажи, а в моєї галі там хтось є?
SPEAKER_14 | 0:34:27.252 --> 0:34:33.327 |  Ти про що, Юр? Юрку, щось не йде.
SPEAKER_13 | 0:34:33.935 --> 0:34:35.352 |  А ти крутий! Крутий!
SPEAKER_11 | 0:34:41.107 --> 0:34:44.93 |  Правду скажи. Я ж знаю, що є.
SPEAKER_01 | 0:35:20.948 --> 0:35:22.383 |  Христос Островець!
SPEAKER_18 | 0:35:22.383 --> 0:35:24.577 |  Боїться на Оскаре!
SPEAKER_01 | 0:35:22.417 --> 0:35:23.969 |  До зустрічі!
SPEAKER_14 | 0:35:24.577 --> 0:35:25.589 |  Так, так, так.
SPEAKER_18 | 0:35:25.589 --> 0:35:27.445 |  Луїська Новосибирська!
SPEAKER_14 | 0:35:25.758 --> 0:35:26.568 |  Увага на екран!
SPEAKER_18 | 0:35:29.268 --> 0:35:50.7 |  Звучить музика.
SPEAKER_24 | 0:35:55.863 --> 0:36:2.967 |  Так. Могли б хоч перед церквою не хвалитись.
SPEAKER_22 | 0:36:3.743 --> 0:36:4.621 |  Ми розпоговоримо.
SPEAKER_24 | 0:36:5.127 --> 0:36:6.680 |  Зараз. Давай ввечері.
SPEAKER_22 | 0:36:7.658 --> 0:36:12.29 |  Я і так чекав, чекав, чекав, чекав. Трошки давай прийняли.
SPEAKER_09 | 0:37:4.409 --> 0:37:4.814 |  От.
SPEAKER_25 | 0:37:11.952 --> 0:37:12.391 |  Маруся.
SPEAKER_09 | 0:37:31.88 --> 0:37:46.900 |  А чого ніхто спагетті не їсть? Ой, дивіться, як то правильно робити. О, треба три штучки, і так на віделку. І крутити, крутити. А ще можна ложкою помихти. Ложки я поклала.
SPEAKER_14 | 0:38:0.333 --> 0:38:1.261 |  Ти їж як хочеш.
SPEAKER_09 | 0:38:13.529 --> 0:38:17.849 |  Це трохи там назбирала, там майже дві тисячі.
