SPEAKER_22 | 0:1:24.557 --> 0:1:25.350 |  Це Вовчик.
SPEAKER_03 | 0:5:35.354 --> 0:6:54.717 |  Воу-воу-воу-воу-воу! Не роби цього! Я глянув. Висота смішна. В'яв, мабуть, не піду. Тю, ти сьо. Я тобі кажу, нічого там страшного нема. Чувак, ти зможеш. Та годі вже пити. Давай вперед, а я позаду. Раз і чого, я підстрахую. Ей! Що там у вас? Все нормально, вже йдемо. ДОБРА, ДОБРА, ДОБРА Ти як? Ти в нормі?
SPEAKER_16 | 0:6:54.717 --> 0:7:1.264 |  Ну все, експедиція відміняється. Наш геній, я басався.
SPEAKER_18 | 0:7:4.690 --> 0:7:7.862 |  Ну, що застрягли? Ви, зате, не я там будете дивитись, а?
SPEAKER_03 | 0:7:12.975 --> 0:8:14.265 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха Та плюнь ти на тих придурків! Вічко, прийом! База викликає, прийом! Ми круті пацани, а хто в цьому буде сумніватися, тому ми пику начистимо. Реально! Вріжемо придуркам! Я тримаю, а ти...
SPEAKER_00 | 0:8:23.192 --> 0:8:24.390 |  Сонце...
SPEAKER_03 | 0:8:30.195 --> 0:8:32.305 |  – З чого це? – Схоже, от.
SPEAKER_06 | 0:8:32.305 --> 0:8:32.339 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:8:32.339 --> 0:8:32.794 |  На землетрусі.
SPEAKER_06 | 0:8:32.794 --> 0:8:32.963 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:8:32.963 --> 0:8:33.14 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:9:35.485 --> 0:9:36.565 |  ФОПТІКУ!
SPEAKER_15 | 0:9:57.405 --> 0:9:57.726 |  Так.
SPEAKER_12 | 0:10:6.535 --> 0:10:12.542 |  На. На.
SPEAKER_06 | 0:10:20.187 --> 0:10:32.33 |  Розсанку? На! Розсанку?
SPEAKER_15 | 0:10:37.754 --> 0:11:6.998 |  Ху! Ці за маю! Підходьте, хлопці! Не соромтеся! Це мудало! Це мудало! Це мудало!
SPEAKER_12 | 0:11:6.998 --> 0:11:7.32 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:11:7.639 --> 0:11:9.276 |  А ну, піхав там арсінь!
SPEAKER_24 | 0:12:23.138 --> 0:12:24.471 |  Взяти його!
SPEAKER_15 | 0:12:58.964 --> 0:12:59.790 |  Велесе!
SPEAKER_24 | 0:13:18.15 --> 0:13:18.724 |  Стійте!
SPEAKER_12 | 0:13:27.449 --> 0:13:28.900 |  Завжди так з цими половцями.
SPEAKER_06 | 0:13:28.900 --> 0:13:36.274 |  Воду бачить, лізуть купатися. А ти молодець! Не злякався? На, оп!
SPEAKER_12 | 0:13:37.253 --> 0:13:37.759 |  Дякую за перегляд!
SPEAKER_06 | 0:13:37.759 --> 0:13:37.776 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:13:38.485 --> 0:13:38.940 |  Херде!
SPEAKER_09 | 0:14:9.315 --> 0:14:10.41 |  Хто такий?
SPEAKER_12 | 0:14:10.92 --> 0:14:12.724 |  Та от, врятував мене біля похмурої скелі.
SPEAKER_09 | 0:14:13.551 --> 0:14:18.40 |  Ти що, залишав заставу? Дядько Ілько.
SPEAKER_12 | 0:14:18.40 --> 0:14:18.90 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:14:18.90 --> 0:14:21.972 |  Я забороняю самому залишати заставу. Чув?
SPEAKER_11 | 0:14:21.972 --> 0:14:21.989 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:14:22.90 --> 0:14:24.655 |  Та я це...
SPEAKER_11 | 0:14:25.60 --> 0:14:30.291 |  Знову щось накоїв, дже вже кукучерявий. Розказуй.
SPEAKER_12 | 0:14:30.291 --> 0:14:36.636 |  А, виїхав я. І ненароком заїхав аж до пухморої скелі.
SPEAKER_25 | 0:14:36.636 --> 0:14:36.822 |  Дякую.
SPEAKER_12 | 0:14:36.822 --> 0:14:38.948 |  Дивлюся, а там такі квіти!
SPEAKER_25 | 0:14:36.940 --> 0:14:37.598 |  Дивлюся.
SPEAKER_06 | 0:14:37.598 --> 0:14:37.699 |  Дякую.
SPEAKER_09 | 0:14:40.855 --> 0:14:41.24 |  Дякую.
SPEAKER_06 | 0:14:41.24 --> 0:14:41.142 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:14:41.142 --> 0:14:41.192 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:14:41.192 --> 0:14:41.226 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:14:41.226 --> 0:14:41.243 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:14:42.137 --> 0:14:52.532 |  Квіти! І половці їх топчуть! І таке мене зло взяло! Слухайте, люди, таке зло! Я беру одного половця, як раз! Другого, третього! Всіх порозкидав!
SPEAKER_08 | 0:14:45.310 --> 0:14:45.462 |  Дякую!
SPEAKER_12 | 0:14:45.462 --> 0:14:45.546 |  Дякую за перегляд!
SPEAKER_09 | 0:14:45.546 --> 0:14:45.934 |  Ловця!
SPEAKER_08 | 0:14:45.934 --> 0:14:46.356 |  Дякую за перегляд!
SPEAKER_06 | 0:14:52.954 --> 0:15:4.328 |  Тут раптом – раз! Але що? Але що сам Андак? – Андак? – Ну, цей, хан Половецький. Він як мене той, так я мало не той вор. А тут цей згори скотися. Жур!
SPEAKER_15 | 0:15:6.117 --> 0:15:6.775 |  У-у-у!
SPEAKER_19 | 0:15:6.910 --> 0:15:6.927 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:15:6.927 --> 0:15:6.977 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:15:6.977 --> 0:15:7.450 |  Кровчик!
SPEAKER_13 | 0:15:7.450 --> 0:15:7.484 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:15:7.484 --> 0:15:7.500 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:15:7.500 --> 0:15:7.517 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:15:10.65 --> 0:15:10.99 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:15:10.99 --> 0:15:10.504 |  Дякую.
SPEAKER_02 | 0:15:10.504 --> 0:15:12.377 |  Дочі!
SPEAKER_19 | 0:15:12.377 --> 0:15:13.52 |  Ой!
SPEAKER_06 | 0:15:13.52 --> 0:15:13.255 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:15:13.255 --> 0:15:14.234 |  А ви хто?
SPEAKER_19 | 0:15:15.381 --> 0:15:16.967 |  Де я?
SPEAKER_06 | 0:15:16.967 --> 0:15:20.89 |  Це якийсь прикол?
SPEAKER_11 | 0:15:20.562 --> 0:15:25.337 |  Щось він дивно балакає. Чи не вивідник половицький?
SPEAKER_15 | 0:15:25.439 --> 0:15:28.493 |  Добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре, добре.
SPEAKER_06 | 0:15:26.856 --> 0:15:26.974 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:15:26.974 --> 0:15:27.25 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:15:29.16 --> 0:15:35.395 |  Годі теревені правити. Завтра Велес все покаже.
SPEAKER_15 | 0:15:36.255 --> 0:15:39.411 |  Ей! Ей! Він підйомене дядькою! Ей!
SPEAKER_17 | 0:15:47.967 --> 0:15:52.270 |  Кінець брифінгу
SPEAKER_24 | 0:15:54.987 --> 0:15:56.505 |  Великий хане.
SPEAKER_13 | 0:15:58.429 --> 0:15:59.509 |  Нарамуваща, так.
SPEAKER_24 | 0:15:59.509 --> 0:16:32.112 |  Твої духи підвели мене. Що сталося? Невже римівця не було на місці, на яке я вказав? Боу, але мені завадив його вбити. Хлопець у дивному одязі. Дивний хлопець? А чи не було на ньому такого знаку? Так, дракон. Такий самий був у нього на спині Великий Ханне
SPEAKER_17 | 0:16:32.112 --> 0:16:32.669 |  Наразі
SPEAKER_24 | 0:16:32.399 --> 0:16:38.828 |  Нарешті ми його дочекалися. Це посланець від духів, що дасть нам безмежну силу.
SPEAKER_06 | 0:16:48.143 --> 0:16:53.999 |  І зв'язку нема.
SPEAKER_04 | 0:16:53.999 --> 0:16:54.505 |  Хей!
SPEAKER_06 | 0:16:56.766 --> 0:16:57.576 |  Чого прийшла?
SPEAKER_04 | 0:16:58.572 --> 0:17:0.512 |  Я тобі молочка принесла.
SPEAKER_06 | 0:17:1.137 --> 0:17:1.575 |  Ти хто?
SPEAKER_04 | 0:17:2.217 --> 0:17:11.245 |  Оленко, я бачила, як тебе Олешко привіз. А дідусь наказав перевірити на болоті. То ти будеш, Молоко, чи ні?
SPEAKER_06 | 0:17:13.759 --> 0:17:14.249 |  А де я?
SPEAKER_04 | 0:17:15.109 --> 0:17:16.257 |  Напевно, в сараї.
SPEAKER_06 | 0:17:17.691 --> 0:17:18.737 |  Що це за місце?
SPEAKER_04 | 0:17:19.362 --> 0:17:19.902 |  Римів?
SPEAKER_06 | 0:17:21.623 --> 0:17:22.264 |  Римів?
SPEAKER_04 | 0:17:24.19 --> 0:17:27.951 |  Так зветься наша застава, котра боронить Русь від половців.
SPEAKER_06 | 0:17:27.951 --> 0:17:28.187 |  Дякую!
SPEAKER_04 | 0:17:28.187 --> 0:17:28.407 |  Дякую за перегляд!
SPEAKER_06 | 0:17:28.407 --> 0:17:30.752 |  А який зараз рік?
SPEAKER_04 | 0:17:31.309 --> 0:17:35.562 |  Дивний ти. 1120 відріз два Христового.
SPEAKER_06 | 0:17:36.0 --> 0:17:38.903 |  1120. Капець.
SPEAKER_04 | 0:17:39.190 --> 0:17:40.641 |  Ну, який з тебе вивідник?
SPEAKER_06 | 0:17:41.367 --> 0:17:42.885 |  Та ніякий я не вивідник!
SPEAKER_04 | 0:17:43.20 --> 0:17:45.822 |  От я й кажу, вивідник з тебе ніякий.
SPEAKER_06 | 0:17:46.125 --> 0:17:47.37 |  І я кажу, що не виглядає.
SPEAKER_12 | 0:17:47.37 --> 0:17:47.442 |  Дякую за перегляд!
SPEAKER_06 | 0:17:48.572 --> 0:17:48.589 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:17:48.589 --> 0:17:53.517 |  Молодець який. До першу з'явився, а вже дівчата коло нього крутяться.
SPEAKER_06 | 0:17:55.997 --> 0:18:8.80 |  Та й цей. Я того, подякувати прийшов. Мені додому повернутися треба. В мене там друг може померти. Ти того, ти не журися. Якщо перевірку у Валеса пройдеш, то все буде добре.
SPEAKER_12 | 0:19:9.218 --> 0:19:19.664 |  Якщо Велес живим відпустив, значить, наш хлопець. Ось твоя торба.
SPEAKER_09 | 0:19:22.904 --> 0:19:39.239 |  Як тебе кличуть? Вітя. А я Ілля. Це Добрийня, а це наш старішина Діта всій. Олешка ти вже знаєш. Розказуй.
SPEAKER_06 | 0:19:41.10 --> 0:19:50.39 |  Звичайно, тихо, десь чекаємо, а потім збавимося. Все замерло, ніби час зупинився. Раптом щось бахнуло, і тут я вилетів з той скелі.
SPEAKER_09 | 0:19:51.895 --> 0:19:54.240 |  Добре, чи хлопець вдарився.
SPEAKER_15 | 0:20:1.868 --> 0:20:2.475 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_06 | 0:20:5.969 --> 0:20:18.119 |  Це називається мегафон. Я приніс його зі свого світу. З майбутнього. І з чого воно зроблене? Це пластик. Китайці роблять.
SPEAKER_09 | 0:20:18.591 --> 0:20:20.160 |  То така же щита з майбутнього.
SPEAKER_06 | 0:20:20.363 --> 0:20:26.421 |  Я живу через тисячу років, і мені дуже потрібно повернутись назад, знайти спосіб, як це зробити.
SPEAKER_09 | 0:20:27.164 --> 0:20:39.584 |  Що скажете, діду? А що тут скажеш? Думати треба. У гімналанки поживеш? У сестри моєї. А там видно буде.
SPEAKER_11 | 0:20:40.5 --> 0:20:48.38 |  – Я його завезу. – Гляди, мій садок не заверни. – Та чого це ви, діду? – Я знаю чого, Жевжику. Дивись.
SPEAKER_12 | 0:20:48.38 --> 0:20:48.291 |  Дякую за перегляд!
SPEAKER_11 | 0:20:48.291 --> 0:20:48.814 |  Дякую.
SPEAKER_12 | 0:20:48.814 --> 0:20:49.67 |  Ну?
SPEAKER_11 | 0:20:49.439 --> 0:20:49.455 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:20:49.455 --> 0:21:11.663 |  Ходімо? Здоровенькі були! Дядько Ілько ось до вас прислав. Давай. Хай поживе.
SPEAKER_28 | 0:21:11.663 --> 0:21:20.438 |  Заходь, синку. Мене називатимеш тіткою Миланкою. А це моя дочка Росанка. А тебе як кличуть?
SPEAKER_06 | 0:21:21.197 --> 0:21:22.345 |  Вітя.
SPEAKER_28 | 0:21:22.345 --> 0:21:32.622 |  А ходімо, розсанчених вареників поїмо. Вона таких наварила. Ходімо, ходімо. Олешку, кличі Лю з Добриною та приходьте на вечерю.
SPEAKER_12 | 0:21:32.622 --> 0:21:33.229 |  Рийде, ма!
SPEAKER_14 | 0:21:39.372 --> 0:21:39.844 |  Ну?
SPEAKER_06 | 0:21:45.784 --> 0:21:46.527 |  Це тобі.
SPEAKER_15 | 0:21:47.286 --> 0:21:47.573 |  Дякую.
SPEAKER_06 | 0:21:49.969 --> 0:21:54.36 |  Ах!
SPEAKER_12 | 0:21:54.36 --> 0:22:1.309 |  Санко, ну ти орлику який шкаблуд!
SPEAKER_09 | 0:22:7.418 --> 0:22:12.717 |  Ну що, хостей приймаєте? Тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо,
SPEAKER_12 | 0:22:13.240 --> 0:22:13.257 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:22:13.257 --> 0:22:13.290 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:22:13.290 --> 0:22:14.489 |  А я за нього їм.
SPEAKER_11 | 0:22:20.57 --> 0:22:20.783 |  Можна?
SPEAKER_21 | 0:22:20.783 --> 0:22:23.10 |  Дідо всію, заходьте!
SPEAKER_11 | 0:22:23.10 --> 0:22:24.344 |  От, м'ясбера.
SPEAKER_21 | 0:22:24.158 --> 0:22:25.559 |  Ой, який яблук!
SPEAKER_11 | 0:22:25.643 --> 0:22:47.766 |  Мію коло дерева ходити. Китайці роблять. Клади на місце. Ви що, здурили, дідо? А хто мені яблуню вломив? Вже три ночі колоса дотреться, тать паршивий. Русанко, ну скажи, що я не по яблуко приходив.
SPEAKER_14 | 0:22:49.504 --> 0:22:52.542 |  Тю на тебе, Олешку. Телепин, ти що й казати?
SPEAKER_09 | 0:22:52.761 --> 0:22:54.44 |  Ха-ха-ха!
SPEAKER_05 | 0:22:58.195 --> 0:23:8.489 |  Вісні і наяву нашу землю нам берегти.
SPEAKER_26 | 0:23:3.527 --> 0:23:3.983 |  Новини на Суспільному. Харків.
SPEAKER_05 | 0:23:8.978 --> 0:23:23.406 |  А в тяжку годинку час не впадем і чорним дощем ми плечем.
SPEAKER_15 | 0:23:18.597 --> 0:23:19.238 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:23:23.524 --> 0:23:24.604 |  Гарно.
SPEAKER_04 | 0:23:24.790 --> 0:23:31.0 |  Це наша улюблена. Ми її співаємо, коли на душі добре. Або коли дуже тяжко.
SPEAKER_11 | 0:23:35.33 --> 0:23:51.115 |  Я сьогодні до Велеса ходив. Дізнався дещо. Коли знак на небі буде, ніч до дня в гості прийде. Норай відкриється і перенесе тебе в ту ж мить, з якої прийшов.
SPEAKER_06 | 0:23:51.115 --> 0:23:52.482 |  А коли буде те затемнення?
SPEAKER_11 | 0:23:52.482 --> 0:24:14.520 |  А хто знає? Може, завтра. А може, і через сто років. А ще Велес сказав, нору можна силою відкрити. Але як? Лише волхви знають. Волхвів цих ще спробуй знайти. А як знайдеш, то таку перевірку влаштують.
SPEAKER_12 | 0:24:14.723 --> 0:24:14.740 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:24:14.740 --> 0:24:19.887 |  Та що їх там шукати? Я одне місце знаю, там тих волхвів. То ходімо туди.
SPEAKER_09 | 0:24:20.241 --> 0:24:26.502 |  Зараз від Римова не можна відходити, бо Половців повен з тебе.
SPEAKER_06 | 0:25:25.412 --> 0:25:40.26 |  Олешко, ти казав, що знаєш, де волхва шукати? Ну, казав. Я хочу... Мені треба дістатися туди. Дістатися то можна, тільки...
SPEAKER_12 | 0:25:40.26 --> 0:25:55.180 |  Наску з того ніякого. Чому? Всі люди знають, що волк нічого не скаже, коли не пройдеш випробування. Які випробування? Як-які. Мечем, стрілою.
SPEAKER_06 | 0:25:55.180 --> 0:26:1.272 |  Розумно, я би спробував. Можна спробувати.
SPEAKER_12 | 0:26:1.272 --> 0:26:4.630 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:26:4.630 --> 0:26:4.647 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:26:4.647 --> 0:26:38.160 |  Подарунок! Не бійся, та. Це тугарин, половець він. Це я його піймав. Ну, чого там заклякати? Стрибай на коня. Подарунок! Дякую за перегляд!
SPEAKER_06 | 0:26:38.160 --> 0:26:38.616 |  А тепер...
SPEAKER_12 | 0:26:39.173 --> 0:26:39.190 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:26:39.190 --> 0:26:41.569 |  Треба попасти от сюди.
SPEAKER_12 | 0:26:42.599 --> 0:26:43.695 |  Давай, сильніше!
SPEAKER_15 | 0:26:53.685 --> 0:26:56.639 |  Вууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу
SPEAKER_12 | 0:26:58.849 --> 0:27:5.59 |  Ну, випробування, як сам бачиш, ти не прийшов.
SPEAKER_06 | 0:27:10.223 --> 0:27:12.552 |  Олешко, а ти можеш мене навчити?
SPEAKER_12 | 0:27:13.632 --> 0:27:18.964 |  Ну не знаю, а тобі той твій балахвон чи як там він?
SPEAKER_06 | 0:27:18.964 --> 0:27:40.885 |  Ти допоможеш мені з навчаннями. І мегафон твій. Завтра почнемо. Окей. Окей. Це означає добре. Все окей, чувак. Чувак. Чувак. Чувак. Чувак. Радіо. Радіо.
SPEAKER_12 | 0:27:40.885 --> 0:27:48.647 |  Раз, два, раз, два, три!
SPEAKER_06 | 0:27:51.786 --> 0:27:54.165 |  Крута папографія!
SPEAKER_15 | 0:27:54.165 --> 0:28:28.624 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла Субтитрувальниця Оля Шор
SPEAKER_12 | 0:28:33.400 --> 0:28:53.312 |  Зніж і тримай! Бачив, який мочара?
SPEAKER_13 | 0:28:53.312 --> 0:28:53.397 |  Дякую!
SPEAKER_12 | 0:28:53.397 --> 0:28:53.684 |  Новини на Суспільному. Харків.
SPEAKER_06 | 0:28:58.20 --> 0:28:58.71 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:28:58.965 --> 0:28:58.982 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:28:58.982 --> 0:29:25.307 |  Ну ти й з ньом на свою ногу! Як же такою штукою махати? Нам муровцю подобається. Муровцю? Якому муровцю? Нашому дядьку Вількові. Він з муровійська родом. Чекай, чекай. А Добриня часом не Микитович? Микитович. Приколюйся. А де ж тоді Альоша Попович?
SPEAKER_12 | 0:29:25.830 --> 0:29:27.248 |  Алеша, Алеша.
SPEAKER_06 | 0:29:28.311 --> 0:29:28.362 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:29:28.362 --> 0:29:28.480 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:29:28.480 --> 0:29:29.37 |  Саме ти, Олім.
SPEAKER_12 | 0:29:29.37 --> 0:29:29.54 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:29:29.54 --> 0:29:29.70 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:29:29.70 --> 0:29:29.391 |  Леша.
SPEAKER_06 | 0:29:29.391 --> 0:29:30.420 |  Ха?
