SPEAKER_16 | 0:0:0.419 --> 0:0:13.463 |  Століттями Київська Русь перебувала в страху перед язичницькими богами і поставили на горі ідол Перуну, володарю Грому та Блискавки, і приносили йому жертви, називаючи богом своїм.
SPEAKER_20 | 0:8:1.340 --> 0:8:10.722 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_05 | 0:8:10.722 --> 0:8:24.222 |  Ну, Вікі, цю подію треба визначити по-любому. Так, Ден, долізь по дровах, розведемо вогонь.
SPEAKER_20 | 0:8:18.198 --> 0:8:20.560 |  Ха-ха-ха. Так, Дед.
SPEAKER_03 | 0:8:20.611 --> 0:8:24.847 |  Долі з-під дрова розведемо вогонь.
SPEAKER_01 | 0:8:25.32 --> 0:8:25.370 |  Дякую.
SPEAKER_01 | 0:8:25.437 --> 0:8:35.798 |  Я? Біта, а то не я там уже так біжу аж падаю.
SPEAKER_21 | 0:8:48.168 --> 0:8:49.585 |  Я вам ще посиню.
SPEAKER_08 | 0:9:4.233 --> 0:9:5.330 |  Йо-мо-йо!
SPEAKER_02 | 0:9:9.160 --> 0:9:11.877 |  Де? Ще далеко? Вон там.
SPEAKER_05 | 0:9:16.467 --> 0:9:18.779 |  Ого, що за норавець.
SPEAKER_02 | 0:9:18.779 --> 0:9:26.373 |  Це наперед. Я зараз поключу професора.
SPEAKER_05 | 0:9:26.373 --> 0:9:37.257 |  Ти що, здуріла? Якщо професор дізнається, то ми, вірняк, сюди не попадемо. Так, тихо. Зараз не зламаємо грати і самі заліземо туди.
SPEAKER_07 | 0:9:43.113 --> 0:9:46.167 |  Ніхай їй! Роботи ті з кустарів!
SPEAKER_05 | 0:9:47.686 --> 0:10:2.620 |  Німці ще на тебе халили? Який німець, ідіот? Краще помік би, ніж тявкати там. Я ж казав, ми з собою третю дівчину взяли. Силою тут не допоможеш.
SPEAKER_07 | 0:10:4.645 --> 0:10:9.33 |  Слухай, ти гормон очкастий! Ще одне слово і тобі таких бамбулеїв випишу!
SPEAKER_05 | 0:10:9.33 --> 0:10:9.286 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:10:9.522 --> 0:10:12.526 |  Що ти цей замок зубами виб'єш, Ферштейн?
SPEAKER_07 | 0:10:12.104 --> 0:10:12.509 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:10:12.863 --> 0:10:34.75 |  Ферштейн, я знаю, як відкрити замок. Ну і як? У тебе в машині є акумуляторна кислота? Ну є. Ден, код ти слухаєш? Яка кислота? Може тобі ще радіактивні відходи привезти? Хімікал-хімік, блін. Так, повертаємось з табіра, там придумаємо. Професор, ні слова.
SPEAKER_01 | 0:10:35.628 --> 0:10:38.598 |  А він сказав, що це повністю нормально.
SPEAKER_05 | 0:10:42.91 --> 0:10:42.412 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:10:44.639 --> 0:10:45.27 |  Дякую.
SPEAKER_05 | 0:10:45.27 --> 0:10:45.500 |  Ні.
SPEAKER_16 | 0:10:45.500 --> 0:10:46.175 |  Дякую.
SPEAKER_05 | 0:10:46.175 --> 0:10:48.149 |  День був далим.
SPEAKER_11 | 0:10:48.166 --> 0:10:49.583 |  Так, ми сьогодні...
SPEAKER_05 | 0:10:48.892 --> 0:10:56.418 |  – Ми сьогодні… – Не ми, сьогодні у нас Віківі з'їхалася. Вона знайшла цінний для історії експонат.
SPEAKER_02 | 0:10:56.384 --> 0:10:57.8 |  Зубіта!
SPEAKER_16 | 0:10:57.616 --> 0:11:48.663 |  Це все. Сподіваюся, наступного дня вам більше пощастить. Головне в нашій справі – це терпіння. 40 років свого життя я витратив на пошуки ідола Перуна. Це язичницький ідол. Йому поклонялись на Древній Русі до прийняття Володимиром Великим християнства. Його жертовник ніколи не був порожним. Данину йому приносили у вигляді домашніх тварин і людських жертв. Його збризкували жертовною кров'ю, а жертви після цього спалювали.
SPEAKER_05 | 0:11:53.101 --> 0:11:58.973 |  Професор, скажіть будь ласка, такий дом насправді існує чи це тільки міф?
SPEAKER_16 | 0:12:4.492 --> 0:12:50.611 |  Ідол зберігався у нашому міському музеї. Але під час Другої світової працівники музею сховали найцінніші експонати, і цей в тому числі, в підземельях нашого міста, щоб вони не дістались фашистам. Але я сподіваюсь, якщо не я, то ви, як майбутні археологи, спуститесь у Штольню і знайдете ідол Перуна. Цим самим зробите великий внесок в українську історію. А може досягнути і світового визнання. Ну що, час відпочивати. Всім на добраніч.
SPEAKER_02 | 0:12:50.611 --> 0:12:50.965 |  На добре.
SPEAKER_10 | 0:12:50.965 --> 0:12:51.235 |  Дякую.
SPEAKER_16 | 0:12:51.67 --> 0:12:51.792 |  Ну, добраніч.
SPEAKER_10 | 0:12:55.336 --> 0:13:0.989 |  Знав, що на ніч розказувати, і я тепер точно не засну.
SPEAKER_05 | 0:13:4.853 --> 0:13:5.765 |  Піду і ділю.
SPEAKER_02 | 0:13:7.807 --> 0:13:28.613 |  Вікі, ти боїшся всього на світі? Нам справді вдасться знайти цей ідол?
SPEAKER_01 | 0:13:29.778 --> 0:13:35.617 |  Професор вже сорок років шукає, не може знайти. А ми отак легко взяли і знайшли.
SPEAKER_02 | 0:13:36.258 --> 0:13:37.760 |  От візьмемо і знайдемо.
SPEAKER_01 | 0:13:38.401 --> 0:13:39.582 |  Та ну, гадя, не сміши!
SPEAKER_05 | 0:13:39.582 --> 0:13:48.543 |  Ден, ти спати думаєш?
SPEAKER_01 | 0:13:48.543 --> 0:13:50.804 |  Ну, давайте. До завтра.
SPEAKER_02 | 0:13:53.234 --> 0:13:55.208 |  Малек, а ти ще спати напідаєш?
SPEAKER_12 | 0:13:55.546 --> 0:13:59.714 |  Ні, я більше люблю біля вогню ще поспати.
SPEAKER_02 | 0:13:59.950 --> 0:14:1.30 |  Ну, тоді до завтра.
SPEAKER_05 | 0:14:39.218 --> 0:14:40.28 |  Дякую.
SPEAKER_05 | 0:14:42.37 --> 0:14:48.27 |  Прокинулося чудо. Давай, вставай. Так все розкопається.
SPEAKER_01 | 0:14:48.27 --> 0:14:48.871 |  В голові просто пише.
SPEAKER_05 | 0:14:48.871 --> 0:14:49.411 |  Дякую.
SPEAKER_01 | 0:14:49.411 --> 0:14:49.765 |  Хе-хе.
SPEAKER_12 | 0:14:58.203 --> 0:14:58.709 |  Угу.
SPEAKER_01 | 0:15:9.357 --> 0:15:11.28 |  Спасибі, малю.
SPEAKER_20 | 0:15:11.28 --> 0:15:13.36 |  Ха-ха-ха!
SPEAKER_02 | 0:15:13.36 --> 0:15:14.234 |  Йдемо тим нахуй, яксь так.
SPEAKER_20 | 0:15:14.234 --> 0:15:14.572 |  Так.
SPEAKER_01 | 0:15:16.681 --> 0:15:17.35 |  Дякую.
SPEAKER_02 | 0:15:18.301 --> 0:15:23.60 |  Щось наш професор довго спить. Мальок, піди, запроси його на каву.
SPEAKER_05 | 0:15:23.448 --> 0:15:28.122 |  Угу. Професор?
SPEAKER_02 | 0:15:33.978 --> 0:15:34.822 |  Ну що там?
SPEAKER_05 | 0:15:35.598 --> 0:15:46.499 |  Його тут немає. Як він так міг безнадсередньо піти? Звідки він дізнався?
SPEAKER_11 | 0:15:56.152 --> 0:16:3.965 |  А чого ти на мене так дивишся? Я нікому нічого не казала. Ну що ти робиш?
SPEAKER_10 | 0:16:3.965 --> 0:16:7.272 |  Зробити будемо.
SPEAKER_02 | 0:16:7.272 --> 0:16:15.777 |  Вип'єм каву. Почекаєм. Може, він повернеться. Боюсь я, що наш професор знає набагато більше, ніж здавалося.
SPEAKER_05 | 0:16:20.536 --> 0:16:35.960 |  Так, ніякої кави. Збираємо речі. Треба йти за ним. Все окей, давайте сюди!
SPEAKER_10 | 0:17:16.932 --> 0:17:19.565 |  Ну йде мені. А може не варто туди лізти?
SPEAKER_05 | 0:17:19.683 --> 0:17:31.327 |  Та не кумар, Вікі! Зараз я полізу сам і проб'ю, що там внизу. Зараз побачимо, що там.
SPEAKER_11 | 0:17:35.967 --> 0:17:37.638 |  Ну що, професора не видно?
SPEAKER_05 | 0:17:38.296 --> 0:17:41.232 |  Та я тут себе не побачив, і те, що прописував.
SPEAKER_18 | 0:17:57.938 --> 0:17:58.917 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_18 | 0:17:58.934 --> 0:18:0.976 |  Ми не йшли до Панолу!
SPEAKER_19 | 0:18:0.976 --> 0:18:1.313 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:18:1.313 --> 0:18:2.647 |  Я не бачу!
SPEAKER_04 | 0:18:3.35 --> 0:18:7.962 |  Ти просто ж ненавиджу! Точно? Точно!
SPEAKER_04 | 0:18:8.114 --> 0:18:8.806 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:18:19.268 --> 0:18:19.977 |  Дякую за перегляд!
SPEAKER_14 | 0:18:20.635 --> 0:18:23.133 |  О, і ви добре її є.
SPEAKER_10 | 0:18:25.124 --> 0:18:25.529 |  Дякую!
SPEAKER_02 | 0:18:32.178 --> 0:18:34.810 |  Біда, в яку сторону краще, як думаєш?
SPEAKER_05 | 0:18:43.585 --> 0:19:1.304 |  Давай ти сюди. Так, стоп.
SPEAKER_02 | 0:19:11.885 --> 0:19:14.348 |  Ти ще пізняже говориш ось про це.
SPEAKER_05 | 0:19:15.428 --> 0:19:25.267 |  Ага, аж два. Я хочу намалювати карту, щоб ми не заблукали.
SPEAKER_01 | 0:19:25.267 --> 0:19:25.553 |  Дякую.
SPEAKER_01 | 0:19:25.604 --> 0:19:25.942 |  Дякую.
SPEAKER_01 | 0:19:25.958 --> 0:19:27.578 |  Чувак, ну ти прогнала.
SPEAKER_05 | 0:19:26.60 --> 0:19:27.173 |  Чувак, ну ти прогнал.
SPEAKER_01 | 0:19:27.848 --> 0:19:29.266 |  Та тут заблукати нереально.
SPEAKER_05 | 0:19:28.135 --> 0:19:28.979 |  Заблукати не раді.
SPEAKER_01 | 0:19:30.25 --> 0:19:30.532 |  Ага
SPEAKER_02 | 0:19:31.595 --> 0:19:37.535 |  Ні. Все правильно. Хто його знає, який тут ходив. А так будемо впевнені.
SPEAKER_05 | 0:19:42.884 --> 0:19:44.369 |  Головне – триматися разом.
SPEAKER_11 | 0:20:15.487 --> 0:20:16.853 |  Не фігас, ставити, малюк!
SPEAKER_12 | 0:20:19.64 --> 0:20:19.621 |  Це так.
SPEAKER_05 | 0:20:19.621 --> 0:20:20.26 |  Дякую!
SPEAKER_12 | 0:20:20.26 --> 0:20:20.785 |  Для страховки.
SPEAKER_11 | 0:20:20.785 --> 0:20:22.85 |  Так бійте ж карту, малюємо.
SPEAKER_12 | 0:20:24.295 --> 0:20:27.316 |  Карту в такій темноті заубити не важко.
SPEAKER_10 | 0:20:27.923 --> 0:20:30.33 |  Хоча, по-всякому.
SPEAKER_02 | 0:20:30.33 --> 0:20:39.230 |  Він не може травитись. Все-таки дивна якась у професора поведінка. Мені ж якось не по собі.
SPEAKER_01 | 0:20:40.23 --> 0:20:48.443 |  І куди він віднесть невдійниця? Але він козел, як не против. Кинути так нас, запаролити самому, нічого не сказавши.
SPEAKER_02 | 0:20:50.97 --> 0:21:3.91 |  Думаю, цілі професора були далеко не розкопані. Щось мені підказує, що він шукає відом переноси. А ми тоді йому для чого? А ми так, для прикриття.
SPEAKER_05 | 0:21:3.918 --> 0:21:10.668 |  Такі тунелі були виряті під Києвом до війни, а деякі зміни ведуться ж на твій кінець міста.
SPEAKER_02 | 0:21:9.250 --> 0:21:9.757 |  Дякую!
SPEAKER_02 | 0:21:11.782 --> 0:21:15.916 |  По цьому болоті ще солдата в 43-му ходили. А хто тепер тут хазяїв?
SPEAKER_05 | 0:21:16.220 --> 0:21:22.480 |  міська влада, вона і грати постарала, щоб такі боротівні, як ми, сюди не лазили.
SPEAKER_01 | 0:21:20.422 --> 0:21:20.843 |  Дякую!
SPEAKER_05 | 0:21:22.700 --> 0:21:24.33 |  І всі, хто сюди доходив...
SPEAKER_01 | 0:21:22.868 --> 0:21:24.100 |  Всі, хто сюди заходив...
SPEAKER_01 | 0:21:24.910 --> 0:21:26.193 |  Ла-ла-ла-ла-ла-ла-ла.
SPEAKER_04 | 0:21:26.733 --> 0:21:29.568 |  А не пішов би ти, Ден?
SPEAKER_05 | 0:21:41.667 --> 0:21:44.30 |  Виробити світло. Для чого?
SPEAKER_12 | 0:21:44.30 --> 0:21:44.975 |  Що таке біта?
SPEAKER_05 | 0:21:44.975 --> 0:21:45.650 |  Доволі бай!
SPEAKER_17 | 0:21:50.408 --> 0:21:58.981 |  Дякую за перегляд!
SPEAKER_07 | 0:21:58.981 --> 0:21:59.369 |  Дякую!
SPEAKER_05 | 0:22:0.27 --> 0:22:11.705 |  Звичайна клюйонка! Її вітром принесли, розумієш, вітром! Який вітер, Біта? Ми фігіознаємо скільки метрів під землею. Біта, ти чув?
SPEAKER_05 | 0:22:13.72 --> 0:22:32.174 |  Та затявкало від страху. Клієночки шугнувся, фізику він знає блін. Для важкодоганяючих пояснює, в підземних тунелях часто гуляють протяг. І це повністю нормально. Хай ви їх з'їдете. Все, немає часу сидіти. Йдемо.
SPEAKER_00 | 0:22:30.993 --> 0:22:32.90 |  Йдіть, ідемо.
SPEAKER_01 | 0:22:51.142 --> 0:22:52.2 |  Вааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_06 | 0:22:55.478 --> 0:22:56.592 |  Ніфігант!
SPEAKER_06 | 0:22:57.453 --> 0:22:59.579 |  Тут злий спортзал під землею.
SPEAKER_01 | 0:22:57.622 --> 0:22:58.27 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:22:58.27 --> 0:23:0.187 |  Є спортзал під землею!
SPEAKER_06 | 0:23:0.777 --> 0:23:2.144 |  Нічого собі!
SPEAKER_02 | 0:23:5.688 --> 0:23:9.991 |  Ей, Біда, ти що робиш? Ей, ти що? Не треба, Біда!
SPEAKER_04 | 0:23:9.991 --> 0:23:24.98 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:23:26.950 --> 0:23:27.929 |  Дякую за перегляд!
SPEAKER_18 | 0:23:27.963 --> 0:23:29.971 |  Дякую!
SPEAKER_17 | 0:23:29.971 --> 0:24:12.23 |  Пас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, бас, Дякую за перегляд!
SPEAKER_02 | 0:24:12.91 --> 0:24:20.22 |  Ми стільки пройшли уже, а ні професора, ні ідола.
SPEAKER_02 | 0:24:20.39 --> 0:24:20.849 |  Чи з ним щось сталося?
SPEAKER_05 | 0:24:21.828 --> 0:24:23.735 |  А не фіг самому по що не лазити.
SPEAKER_02 | 0:24:27.818 --> 0:24:36.87 |  Дивно це все якось, і місце це якесь мудрешне. Тут навіть якось пахне страшно.
SPEAKER_01 | 0:24:39.310 --> 0:24:44.778 |  Та ну збийся, Катя, подумаєш кльйонка якась пролетіла, грузишся і зафігніруєш.
SPEAKER_12 | 0:24:46.988 --> 0:24:48.541 |  А якщо це не просто прийом?
SPEAKER_05 | 0:24:49.385 --> 0:24:54.464 |  Ой, починається вууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу
SPEAKER_05 | 0:24:59.712 --> 0:25:6.783 |  Ні, серйозно. А якщо дійсно, то щось водиться. Так, малюк, не висаджуй нам дівок.
SPEAKER_01 | 0:25:7.441 --> 0:25:9.905 |  І не кайфолом тусу, окей?
SPEAKER_20 | 0:25:10.883 --> 0:25:23.708 |  Уууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу
SPEAKER_01 | 0:25:14.393 --> 0:25:15.338 |  Ха-ха-ха!
SPEAKER_17 | 0:25:16.199 --> 0:25:19.34 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_05 | 0:25:19.34 --> 0:25:28.450 |  Зараз я вам розкажу історію, що ж Шуба завернеться.
SPEAKER_13 | 0:25:29.969 --> 0:25:39.622 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:25:39.622 --> 0:25:53.678 |  Так от, ми зараз заблукаємо, і не зможемо знайти вихід. І шукати нас ніхто не буде. Тому що ніхто, крім нас і професора, не знає, в якому ми місці.
SPEAKER_11 | 0:25:54.607 --> 0:25:59.180 |  Іди лікуйся, ненормальний. Блін, ти що накаркати хочеш?
SPEAKER_05 | 0:25:59.602 --> 0:26:3.263 |  Дурне, як я можу накаркати, якщо я зараз тут з вами?
