SPEAKER_49 | 0:0:7.338 --> 0:0:32.954 |  Ой летіли журавлі, сіли собі край ріллі. Сіли собі край ріллі, заспівали трай-ляй-ляй-лі.
SPEAKER_07 | 0:6:8.176 --> 0:6:8.378 |  Дякую!
SPEAKER_30 | 0:6:13.441 --> 0:6:19.533 |  Як бачите, кожен хотів би в своєму селі залишитись.
SPEAKER_31 | 0:6:40.677 --> 0:6:46.955 |  Багато вас, малого візьму, Георгія.
SPEAKER_07 | 0:7:5.888 --> 0:7:6.209 |  Дякую!
SPEAKER_25 | 0:7:7.610 --> 0:7:14.208 |  Що ти, Лезі, повиставляв своїх хлопців як медівники? Вони ж, мов, бугаї. Віддай мені їх на літо в роботу.
SPEAKER_30 | 0:7:14.765 --> 0:7:16.317 |  Що, даєте на місяць, падало?
SPEAKER_25 | 0:7:15.727 --> 0:7:24.974 |  Та вже більше заробиш, ніж сьогодні на ярмарку. Восени можеш мати три вівці і відгодованих хлопців на зиму.
SPEAKER_30 | 0:7:24.974 --> 0:7:25.244 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 0:7:25.244 --> 0:7:25.328 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:7:25.328 --> 0:7:25.413 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 0:7:25.413 --> 0:7:25.970 |  Як трапити?
SPEAKER_30 | 0:7:25.970 --> 0:7:26.37 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 0:7:26.37 --> 0:7:26.965 |  Саєка Вісіліч.
SPEAKER_30 | 0:7:26.965 --> 0:7:27.33 |  Дякую.
SPEAKER_25 | 0:7:27.33 --> 0:7:27.978 |  Інше треба вивезти.
SPEAKER_30 | 0:7:27.978 --> 0:7:28.28 |  Дякую за перегляд!
SPEAKER_25 | 0:7:28.28 --> 0:7:28.973 |  і рвіть пустіть.
SPEAKER_30 | 0:7:28.973 --> 0:7:29.24 |  Дякую за перегляд!
SPEAKER_25 | 0:7:29.24 --> 0:7:29.176 |  Дякую за перегляд!
SPEAKER_30 | 0:7:30.914 --> 0:7:30.931 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 0:7:30.931 --> 0:7:52.548 |  Петре, а чому ти такий сумний? Заграй щонебудь веселе, румунське. А він на твоїх похоронах весело загорає. Дивіться, їх продають як бидло, а вони ще й носа деруть. Тичать собі під хвіст тир'я.
SPEAKER_44 | 0:7:52.548 --> 0:7:57.543 |  Чого ви смієтесь, християни? На сьогодні ви всі продані. По якому розмовляєш?
SPEAKER_31 | 0:7:56.986 --> 0:7:58.977 |  Збавляйся, мама миті!
SPEAKER_34 | 0:7:58.977 --> 0:8:6.470 |  Скажіть! Скажіть! Скажіть, що треба!
SPEAKER_03 | 0:7:59.11 --> 0:7:59.618 |  Курка, тримай!
SPEAKER_31 | 0:7:59.618 --> 0:7:59.635 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:7:59.635 --> 0:8:0.783 |  Скажіть!
SPEAKER_44 | 0:8:0.783 --> 0:8:1.36 |  Дякую за перегляд!
SPEAKER_03 | 0:8:1.36 --> 0:8:6.605 |  Скажіть, ну скажіть, ну скажіть, що має бути?
SPEAKER_34 | 0:8:6.605 --> 0:8:6.622 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:8:7.77 --> 0:8:29.32 |  Дребць! Куркаць! Дребць! Куркаць! Бе, поркуле! Дребць! Боуле! Арістацій песта! Куркаць! Дребць! Куркаць! Дребць! Куркаць! Дребць!
SPEAKER_04 | 0:8:29.32 --> 0:8:43.561 |  Охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо-охо
SPEAKER_29 | 0:9:13.463 --> 0:9:30.642 |  Не журіться про мої діти. Дав Бог діти, дасть і надіти. До котрого береш? А що тут, якийсь дешевший є? Вони в мене в одній ціні. Отего.
SPEAKER_53 | 0:9:35.873 --> 0:9:49.36 |  Візьміть лелеку, не продаю, добрим людям віддаю, бо мою хату вода забрала, а я вже стара, мені помирати час, візьміть лелеку.
SPEAKER_30 | 0:9:50.200 --> 0:10:2.401 |  Продав хлопців, маю гроші, та й бореги маю, півцю купити.
SPEAKER_46 | 0:10:2.401 --> 0:10:44.32 |  Ні, віднесу Попові гроші, може він за Петра слово замовить. Ні, йодю пошлю, малий заплаче, малому він не відмовить. Не можна мені йти, заберуть мене на польському боці. Ось вірю, до мене, пан офіцер, каже, часто бію, вилів стріляти, як з'явлюся.
SPEAKER_15 | 0:10:44.32 --> 0:10:49.634 |  Чим я тут приготуватимуся?
SPEAKER_29 | 0:10:57.397 --> 0:11:0.738 |  Навернусь, я звідти.
SPEAKER_13 | 0:11:8.990 --> 0:11:10.70 |  Я гроші з'їв.
SPEAKER_28 | 0:11:14.491 --> 0:11:15.402 |  Скільки?
SPEAKER_13 | 0:11:16.904 --> 0:11:30.505 |  Двадцять лей, я їх у рот сховав, щоб не загубити, а воно ковтнулося, не бійте мене, я їх вам завтра ранком верну.
SPEAKER_15 | 0:11:41.575 --> 0:11:43.955 |  Куди ти старий дурню дитину посилаєш?
SPEAKER_07 | 0:11:43.398 --> 0:11:43.415 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:11:43.415 --> 0:11:45.102 |  Гроші життя!
SPEAKER_15 | 0:11:44.326 --> 0:11:45.170 |  Гроші жаль!
SPEAKER_09 | 0:11:45.170 --> 0:11:45.271 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:11:45.271 --> 0:11:45.575 |  Дякую!
SPEAKER_09 | 0:11:45.575 --> 0:11:45.642 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:11:45.642 --> 0:11:46.47 |  Мауі!
SPEAKER_09 | 0:11:46.47 --> 0:11:46.182 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:11:46.182 --> 0:11:47.26 |  Най...
SPEAKER_09 | 0:11:47.26 --> 0:11:49.810 |  Знає яких заробляти!
SPEAKER_31 | 0:12:4.373 --> 0:12:7.968 |  – Нарок! – Щисені п'яте! – Хайде!
SPEAKER_30 | 0:12:8.913 --> 0:12:13.115 |  Да, буде й цуйка.
SPEAKER_20 | 0:12:45.869 --> 0:12:58.19 |  Боже, я ж тобі казала, я ж тобі казала, ой, що ти зробив з дитиною, о, Боже.
SPEAKER_13 | 0:13:1.23 --> 0:13:3.284 |  Дей мішок! Дей мішок!
SPEAKER_08 | 0:13:46.990 --> 0:13:48.965 |  Ой! Ой!
SPEAKER_13 | 0:13:48.965 --> 0:13:50.28 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_27 | 0:13:50.28 --> 0:13:55.462 |  Не мука, попак кусав і з божевільнім втик.
SPEAKER_04 | 0:13:55.462 --> 0:13:55.495 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:13:55.495 --> 0:13:55.968 |  Ааа!
SPEAKER_27 | 0:13:55.968 --> 0:13:56.35 |  Дякую за перегляд!
SPEAKER_04 | 0:13:57.453 --> 0:13:57.487 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:13:57.487 --> 0:13:57.790 |  Кінець брифінгу.
SPEAKER_04 | 0:13:57.790 --> 0:13:57.824 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:13:57.824 --> 0:13:57.875 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:13:57.875 --> 0:13:57.942 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:13:57.942 --> 0:14:1.165 |  Рошиков, таф, де воміт?
SPEAKER_30 | 0:14:1.165 --> 0:14:1.823 |  Даааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_04 | 0:14:2.431 --> 0:14:3.241 |  Я ж не нахі...
SPEAKER_30 | 0:14:2.465 --> 0:14:11.560 |  Я ж на них ікону купив! А я замість хліба цій прірві музику заведу! Вона ж красива!
SPEAKER_04 | 0:14:3.511 --> 0:14:3.967 |  Ну купіть!
SPEAKER_06 | 0:14:3.967 --> 0:14:4.85 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:14:4.85 --> 0:14:4.118 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:14:11.425 --> 0:14:13.703 |  Пасиво! Будете переглядати!
SPEAKER_30 | 0:14:13.703 --> 0:14:22.23 |  У тебе, ой, красиво. А я і за вас ночей не сплю. Останню красу...
SPEAKER_09 | 0:14:22.23 --> 0:14:33.346 |  Ти, хто хліба, вам вийду! Я у вас на світ не просився! Аааа, виродок! Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_13 | 0:14:23.947 --> 0:14:30.207 |  Я у вас на світ не просився! А-а-а! Ви, родок! А-а-а!
SPEAKER_40 | 0:14:30.207 --> 0:14:30.730 |  Ти що боишся?
SPEAKER_31 | 0:14:32.30 --> 0:14:40.400 |  Перестань, Лесю, перестань! Віддай його мені. Пічками впити можна, але не навчити. Я ласкою та словом Божим приверну тобі сина.
SPEAKER_09 | 0:14:34.983 --> 0:14:35.793 |  Утро!
SPEAKER_13 | 0:15:8.345 --> 0:15:30.248 |  Куди ти, тьодію, синку? Попова дочка казала, у кого бузько на хаті, тому дітей кидає. Що з тобою? А нам уже досить. Нам від цього голод. Я знаю, ви мене попою б віддали, щоб менше було ротів. Що ти придумав, дитиночко? Краще його скину з хати.
SPEAKER_15 | 0:15:32.408 --> 0:16:54.556 |  А-а-а-а, ця птиця Божа, її не можна чіпати. Лелека була колись людиною, і богдав їй важкий мішок, і сказав, віднеси кінь у прірву, тільки не диви, що в ньому є. Але людина захотіла знати те, що знає Бог І чоловік заглянув в мішок А там всякі гаддя, летюче, повзюче Вся нечи світу Чоловік кинув мішок у пропасть Але гріх був содіяний Людина посягнула на тайну Бога І прорік Бог Станеш ти птахом білим З ознакою чорною І поки не везбере зі світу весь бруд Не поверну тебе в людину Відтоді ходять лелеки по болотах По смітниках світу і знищують зло, яке саме колись заподіяли.
SPEAKER_07 | 0:16:56.952 --> 0:16:59.703 |  Ам.
SPEAKER_37 | 0:17:45.653 --> 0:17:58.613 |  Князь мій, ну як, Витко Чорногору, чи ти грабувати мене прийшов?
SPEAKER_13 | 0:18:3.187 --> 0:18:20.247 |  Та не потрібні мені ваші яблука. Я шукаю дерево, щоб очі відкрились, щоб прозріти, щоб як Бог, щоб пізнати добро і зло.
SPEAKER_37 | 0:18:21.142 --> 0:18:21.243 |  Дякую.
SPEAKER_13 | 0:18:21.243 --> 0:18:21.968 |  Доброї зустрічі!
SPEAKER_37 | 0:18:21.968 --> 0:18:22.458 |  зло.
SPEAKER_36 | 0:18:31.469 --> 0:18:41.780 |  Не поспішай, встигнеш, коли тебе сто разів продадуть і куплять закусень хліба, тоді прозрішу.
SPEAKER_31 | 0:19:9.83 --> 0:19:10.28 |  Що ж це таке?
SPEAKER_13 | 0:19:16.407 --> 0:19:49.212 |  Люди кажуть, якщо сім днів вигрівати яйце, власного дідька можна вивезти. Я його вирощу. Буду годувати чорто-полохом, вовчими ягодами, щоб зліший був, щоб став як бугай, он з такими рогами. Тоді подивимось.
SPEAKER_31 | 0:19:49.465 --> 0:19:53.431 |  Не погань тіла своєго, бо тіло твоє — храм духа твоєго.
SPEAKER_13 | 0:19:53.870 --> 0:19:57.177 |  Любов! Любов! Тьфу! Хто сильніший, той правий!
SPEAKER_31 | 0:19:58.443 --> 0:20:1.447 |  Прости мене, сином мій.
SPEAKER_13 | 0:20:32.530 --> 0:20:32.547 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:20:32.547 --> 0:20:32.632 |  Дякую за перегляд!
SPEAKER_13 | 0:20:32.632 --> 0:20:33.458 |  Ну чого тобі?
SPEAKER_19 | 0:20:35.534 --> 0:20:43.499 |  Рости, дядя, дідька, рости. Може, він і мені поможе.
SPEAKER_32 | 0:21:13.165 --> 0:21:13.486 |  Ху!
SPEAKER_28 | 0:21:13.486 --> 0:21:13.553 |  Дякую!
SPEAKER_32 | 0:21:16.17 --> 0:21:24.83 |  Петро, щоб тебе ясний шлячок, трафуй, як я сізляк. Так що, дзвонарі, дребс чи не дребс?
SPEAKER_33 | 0:21:24.83 --> 0:21:24.573 |  Чікукат?
SPEAKER_32 | 0:21:24.573 --> 0:21:29.821 |  Зараз покажемо їй дребсіку. Йди наліво, я направо.
SPEAKER_33 | 0:21:29.213 --> 0:21:29.905 |  Моя збитка.
SPEAKER_32 | 0:21:29.905 --> 0:21:29.922 |  Субтитрувальниця Оля Шор
SPEAKER_33 | 0:21:29.922 --> 0:21:30.783 |  Троєнні!
SPEAKER_32 | 0:21:30.783 --> 0:21:32.977 |  У Москві, в Румунії, у криміналі...
SPEAKER_33 | 0:21:30.817 --> 0:21:31.36 |  Можна?
SPEAKER_27 | 0:21:31.36 --> 0:21:32.453 |  Невинен румунів криміналі отримати.
SPEAKER_07 | 0:21:32.453 --> 0:21:38.292 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_27 | 0:21:41.482 --> 0:21:43.945 |  Йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо
SPEAKER_07 | 0:21:41.532 --> 0:21:41.566 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:21:41.566 --> 0:21:43.810 |  Йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо
SPEAKER_07 | 0:21:43.810 --> 0:21:43.895 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:43.962 --> 0:21:44.452 |  Дякую!
SPEAKER_09 | 0:21:44.452 --> 0:21:44.468 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:44.468 --> 0:21:46.325 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_09 | 0:21:46.325 --> 0:21:46.342 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:46.342 --> 0:21:46.392 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:21:46.392 --> 0:21:46.409 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:46.409 --> 0:21:46.493 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:21:48.552 --> 0:21:48.704 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:48.704 --> 0:21:48.856 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:21:48.856 --> 0:21:49.970 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха
SPEAKER_27 | 0:21:49.970 --> 0:21:50.3 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:21:50.3 --> 0:21:50.20 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:21:50.155 --> 0:21:50.240 |  Дякую!
SPEAKER_09 | 0:21:50.240 --> 0:21:50.763 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха
SPEAKER_06 | 0:21:54.712 --> 0:21:59.32 |  ЇЇЇЇЙ, БРАТЯААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА
