SPEAKER_16 | 0:1:31.578 --> 0:1:33.29 |  Дякую!
SPEAKER_07 | 0:28:7.362 --> 0:28:7.852 |  Дякую.
SPEAKER_04 | 0:28:7.852 --> 0:28:8.678 |  Може.
SPEAKER_07 | 0:28:8.678 --> 0:28:8.965 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:28:8.965 --> 0:28:26.9 |  Але треба менше красти. Метал їде за кордон, приносить до бюджету валюти. І що з цим робити? Борги треба віддавати, а вони зараз вже більше за ВВП. Розумієте, до чого це може привести?
SPEAKER_19 | 0:28:24.457 --> 0:28:36.33 |  Розумієте, до чого це може привести? Боргами і онуки на жіною розрахуються. Через два роки тут пустеля буде, воду шахту. І відкачує, і відкачує. А вона вже навіть кругом врікся.
SPEAKER_17 | 0:28:36.33 --> 0:28:49.330 |  А я пропоную їхати в Крим, я сам поїду. Там завалився міст і зараз роботи дуже багато, треба виснути. То що ти там розпилиш на метал? 19 кілометрів.
SPEAKER_18 | 0:28:45.635 --> 0:28:45.652 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:28:45.652 --> 0:28:59.641 |  Та що ти його там розпилиш на метал? Через твого, блядь, коришня? Гадаєш, що комбінат закрили? Ти за це воював? Та ладно, заспокойся
SPEAKER_04 | 0:28:57.228 --> 0:28:58.763 |  Та ладно, заспокійся.
SPEAKER_02 | 0:28:58.763 --> 0:28:59.168 |  Дякую.
SPEAKER_04 | 0:28:59.168 --> 0:28:59.185 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:29:0.12 --> 0:29:13.242 |  — Скільки на твоїй совісті людей? — Він тебе захищав. Мене захищав? Я тебе просив, блядь, мене захищати? Що, пана жив? Ну де була робота? Зараз її немає. Ідіоти, срай.
SPEAKER_14 | 0:31:29.963 --> 0:32:12.50 |  Тиждень через тиждень. Ось наряд, маршрутка листів та пропуск на територію, якщо зупинить патруль. На кордоні тут і тут поставиш відпитки. Дві відпитки? Так. Тут підпишеш сам. Це за інструктаж по тих ріцепезпеки, а це, що несеш матеріальну відповідальність за транспортний засіб. Зрозуміло? Зрозуміло. Краще повертайся засвідом. В зоні вже майже немає цивільних. Якщо обламаєшся, будеш довго чекати на допомогу. Краще ремонтуйся сам. Необхідний інструмент в ящиках. І на ніч зливай залишки води. Вовісково. Щастливо. Дякую.
SPEAKER_21 | 0:33:51.241 --> 0:33:52.0 |  Найбільше!
SPEAKER_03 | 0:34:47.722 --> 0:34:55.197 |  – Бажаю здоров'я! – Бажаю! Ручку маєте? – Так маю. – Дякую.
SPEAKER_02 | 0:35:0.968 --> 0:35:0.985 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:35:0.985 --> 0:36:0.689 |  КПД? Так. Дякую. Дякую. Дякую. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. До зустрічі. ДОБРА, ДОБРА, ДОБРА Важаю здоров'я! Важаю, Місно, здоров'ячко! Далі їхати не можна, там зараз працюють сапері.
SPEAKER_16 | 0:36:0.689 --> 0:36:0.875 |  Дякую.
SPEAKER_23 | 0:36:0.875 --> 0:36:2.360 |  – Треба випадково? – Треба випадково.
SPEAKER_16 | 0:36:0.925 --> 0:36:2.242 |  Треба подати?
SPEAKER_23 | 0:36:3.85 --> 0:36:6.798 |  Повтори. Буде вибух. Плюс. Давай, Віктор.
SPEAKER_05 | 0:36:10.4 --> 0:36:11.489 |  Дійшо, доходите.
SPEAKER_23 | 0:36:11.978 --> 0:36:18.374 |  Сьогодні 100 метрів пройшли біля чотирьох противотанкових мін. А певний противотанковий мінний поле тут було колись.
SPEAKER_05 | 0:36:19.49 --> 0:36:22.846 |  А, напевно, росіяни думали, що ми не на танкових відах.
SPEAKER_21 | 0:36:36.532 --> 0:36:37.190 |  Увага на екран!
SPEAKER_23 | 0:36:40.25 --> 0:36:41.611 |  Давай, підганяй, я візьму канистру.
SPEAKER_03 | 0:36:42.33 --> 0:36:42.792 |  Добре, давай.
SPEAKER_23 | 0:37:16.53 --> 0:37:16.897 |  Дякую вам за перегляд!
SPEAKER_05 | 0:37:17.251 --> 0:37:17.875 |  Зараз.
SPEAKER_23 | 0:37:17.875 --> 0:37:17.977 |  Дякую.
SPEAKER_05 | 0:37:17.977 --> 0:37:18.112 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:37:19.107 --> 0:37:19.478 |  Дякую.
SPEAKER_05 | 0:37:23.258 --> 0:37:25.418 |  — Що, ті тетки знаходишся щось краще?
SPEAKER_23 | 0:37:25.13 --> 0:37:41.973 |  Та ні, тему багато, як ти кажеш, помзи, пеменки знаходили, мони, 50-90-ці пацани знаходили. Та і все, що можливо вивозимо, знищуємо, що неможливо, знищуємо на місці під ривом. Роботи вистачає на років 15-20, як мінімум.
SPEAKER_05 | 0:37:42.901 --> 0:37:46.175 |  Зрозуміло. Але піски вони багато тут насипали.
SPEAKER_23 | 0:37:46.175 --> 0:37:53.228 |  Так, там от посадки хлопців були п'ятдесят штук приблизно десь отак. Виявили, знищували теж.
SPEAKER_05 | 0:37:54.224 --> 0:37:56.47 |  Слухай, а тоді вас якось об'їхати можна?
SPEAKER_23 | 0:37:56.47 --> 0:37:56.97 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:37:56.97 --> 0:37:56.131 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:37:56.131 --> 0:38:4.231 |  Так, дивись, ось зліва є дорога у нас, приїжджаєш на неї, ми її вже перевірили, пройшли, почистили її, тільки вправо-вліво не з'їжджайте нікуди.
SPEAKER_02 | 0:38:4.231 --> 0:38:4.484 |  Дякую.
SPEAKER_23 | 0:38:4.450 --> 0:38:7.353 |  Поїжджаєш зразу на трасу, там ти вже розберешся.
SPEAKER_02 | 0:38:7.353 --> 0:38:7.724 |  Дякую.
SPEAKER_23 | 0:38:7.724 --> 0:38:10.53 |  О, вже повністю.
SPEAKER_05 | 0:38:10.53 --> 0:38:10.103 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:38:10.593 --> 0:38:10.660 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:38:10.660 --> 0:38:10.981 |  Дякую!
SPEAKER_05 | 0:38:12.179 --> 0:38:14.423 |  Добре, друже, давай. Все, щасливо, заразінько.
SPEAKER_09 | 0:39:56.973 --> 0:39:57.23 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:39:57.23 --> 0:39:59.572 |  Три години стоїмо, а потім поїхати.
SPEAKER_05 | 0:40:0.449 --> 0:40:3.318 |  Приєднуйте. Генератор знову.
SPEAKER_16 | 0:40:6.52 --> 0:40:10.51 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:40:11.165 --> 0:40:16.548 |  Дякую за перегляд!
SPEAKER_05 | 0:40:16.919 --> 0:40:30.82 |  Значить, він не рвався. Давай, гаком до мене, підхною до тебе. Добре, я тоді підтяну, окей?
SPEAKER_09 | 0:40:30.757 --> 0:40:34.250 |  Давайте тоді я з вами в машину покажу дорогу.
SPEAKER_05 | 0:40:34.874 --> 0:40:34.908 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:40:34.908 --> 0:40:35.330 |  Добре.
SPEAKER_09 | 0:41:16.522 --> 0:42:17.761 |  Позвониш нашим, скажеш, щоб ви виїхали. Добре, що у вас тут тепло, бо ми там тільки вже трьох годин стоїмо. І однієї машини не було. Замерзло страшно. Машину тільки не ремонтували, а вона знову зламалась. Більше тижня пройшло.
SPEAKER_05 | 0:42:19.10 --> 0:42:21.85 |  А з такими дорогами воно й не дивно.
SPEAKER_09 | 0:42:23.802 --> 0:42:42.567 |  У вас тут щось капає. Оце вона у вас гримить.
SPEAKER_05 | 0:42:44.373 --> 0:42:48.136 |  Так вона старша за нас собою, але їде.
SPEAKER_10 | 0:43:8.960 --> 0:43:10.23 |  і сюди ходити.
SPEAKER_18 | 0:43:17.262 --> 0:43:18.477 |  Привіт!
SPEAKER_17 | 0:43:18.747 --> 0:43:18.764 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:43:18.764 --> 0:43:19.743 |  Добрий вечір.
SPEAKER_18 | 0:43:19.777 --> 0:43:21.228 |  Ми вас надвидачуємо.
SPEAKER_10 | 0:43:21.768 --> 0:43:25.295 |  Ми думали, що вже не дивимося. Це ваші, це наші.
SPEAKER_18 | 0:43:30.577 --> 0:43:34.188 |  Ніна, Віталій, йдіть, прямо працювати.
SPEAKER_01 | 0:43:34.188 --> 0:43:34.593 |  Дякую.
SPEAKER_18 | 0:43:34.593 --> 0:43:37.40 |  І перевірити.
SPEAKER_07 | 0:44:12.916 --> 0:44:15.683 |  Допоможи. Бери за плечі.
SPEAKER_04 | 0:44:26.990 --> 0:44:27.7 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:44:27.7 --> 0:46:45.230 |  Працюємо. Доставлено труп, на трупі одягнено, куртка зелена, застібається на блискавку пластикову та гудзики пластмасові зеленого кольору. Канина її волога по всій поверхні, покрита ґрунтом сірого кольору Також є численні ділянки руйнування тканини різноманітної форми та розмірів Кофта флітова, чорна, застібається на блискавку З двома врізними кишеннями, кишені порожні Тканина кофти волога, також покрита ґрунтом сірого кольору Футболка з коротким рукавом, волога, кольор не розрізняється на футболці, попередній та бічним поверхням, численні ділянки руйнування тканини, при дослідженні тканина футболки руйнується, штани військового зразка темно- та світло-зеленого кольору, На лівій штанині бірка МА-034, сніжне 16-03-11-45. Тканина штанів волога, покрита ґрунтом. По бічним поверхням кишені накладні, застібаються на гудзики зелені. Кишені порожні. Труси чорного кольору, тканина волога, брудна, труси без ушкоджень, берци чорні, на шнурках, на чорній гумовій підошві, розмір 43.
SPEAKER_13 | 0:46:49.432 --> 0:46:49.448 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:46:49.448 --> 0:46:50.849 |  Ми ще довго боїмося паспорту.
SPEAKER_13 | 0:46:50.849 --> 0:46:50.883 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:46:50.883 --> 0:46:51.68 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:46:51.68 --> 0:46:51.220 |  Дякую.
SPEAKER_18 | 0:46:51.220 --> 0:46:51.288 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:46:53.971 --> 0:46:54.511 |  Дякую.
SPEAKER_03 | 0:46:55.709 --> 0:46:56.452 |  Дякую.
SPEAKER_10 | 0:46:56.452 --> 0:46:56.502 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:46:56.502 --> 0:46:56.519 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:46:56.519 --> 0:46:56.755 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:46:57.211 --> 0:48:14.515 |  В бірцях шкарпетки синтетичні чорні, в яких знаходяться кістки стоп. По зніманні одягу, труп правильної статури, чоловічої статі, в стані пізніх трупних змін, у вигляді часткового скелетування та муміфікації. Голова овальна, на лівій половині мозкового черепу деформована В правій лобно-тюмінній ділянці волосся пряме чорне Довгий так прилежить? Рік, можливо, півтора, все залежить від умов перебування На передній поверхні шиї накладання ґрунту Рот відкритий, порожнині рота, ґрунт та 6 патронів калібру 7,62, покриті ґрунтом, вологі, тьміні.
SPEAKER_13 | 0:48:17.502 --> 0:48:48.350 |  Це полонений снайпер. Чому ти так думаєш? Набої п'ятдесят четверті. Легкі, з тильним наконечником. Коли снайпер попадав в полон, після досить інтенсивного допиту, набої один з одним запихали йому в рота, заставляли ковтати. Коли вже повністю повний рот був, просто добивали прикладом, потім закопували. Можливо, так і було.
SPEAKER_18 | 0:48:48.350 --> 0:49:3.588 |  Ушкоджень в ділянці шиї не виявлено. Права кисть відсутня. Ні, дякую.
SPEAKER_10 | 0:49:2.2 --> 0:49:5.377 |  Дякую. Дякую.
SPEAKER_18 | 0:49:4.972 --> 0:49:6.693 |  Добре, до побачення.
SPEAKER_10 | 0:49:6.322 --> 0:49:6.355 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:49:6.693 --> 0:49:6.727 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:49:6.727 --> 0:49:7.368 |  Дякую.
SPEAKER_18 | 0:49:9.190 --> 0:50:25.988 |  Права кисть відсутня, ліве передпліччя та ліва кисть відсутні, суглобові поверхні, вологі, хрещова частина збережена, щільна. Віднімаємо. Шкіряні покрови по задній поверхні тіла на всьому протязі відсутні в області лопаток, поперековій ділянці, ділянці тазу, м'які тканини відсутні до кісток, кістки вологі, тьменні, ослизнені, покриті пліснявою. З трупом доставлено фрагмент черепа прямокутної форми розміром 12х9 см, краєю дрібнозубчасті, по внутрішній поверхні буро-коричневого кольору, по зовнішній поверхні світло-жовтого. З зовнішнім дослідженням закінчили, переходимо до внутрішнього та ушкоджень. Готуйся.
SPEAKER_13 | 0:50:43.538 --> 0:50:45.952 |  Ну, ось і робота. Кожен день одні трупи.
SPEAKER_10 | 0:50:47.707 --> 0:50:53.782 |  Насправді не кожен день. У нас буває, що ми місяць шукаємо, або декілька місяців.
SPEAKER_13 | 0:50:59.502 --> 0:51:2.455 |  Тобі не непридло? Чим вже й займалась до війни?
SPEAKER_10 | 0:51:3.957 --> 0:51:18.588 |  Не повіриш, вчилась на археолога, так що, можна сказати, працюю майже по професії. Тільки події сталися не тисячу років назад, а за твого життя. Ніби свою історію відхопуєш.
SPEAKER_13 | 0:51:24.629 --> 0:51:25.861 |  а на війну як потрапила.
SPEAKER_10 | 0:51:29.776 --> 0:52:3.273 |  Пішла парамедиком. Якраз припало на кінець війни. У нас тоді було дуже багато поранених. На жаль, ми вивозили тільки тих, хто міг вижити. А зараз маємо повернутися за тим, у кого тоді не могли забрати.
SPEAKER_13 | 0:52:19.372 --> 0:52:21.869 |  Це ж важко. Я з цим справляюся.
SPEAKER_10 | 0:52:23.793 --> 0:52:39.824 |  Важко, але я стараюся до цього відноситись трохи по-іншому. Ми даємо можливість загиблим попрощатись з рідними, закінчити історію свого життя і свою війну. Це важливо.
SPEAKER_13 | 0:52:53.847 --> 0:52:55.552 |  Вам за цю роботу хоч гроші платять?
SPEAKER_10 | 0:52:56.885 --> 0:53:4.107 |  Ну як платять? Це наш власний волонтерський проєкт, і ми самі шукаємо гроші на фінансування.
SPEAKER_13 | 0:53:13.945 --> 0:53:19.328 |  Я, в принципі, працюю тиждень через тиждень. В разі чого можете на мене розраховувати.
SPEAKER_10 | 0:53:21.556 --> 0:53:23.125 |  Лоб круто. Дякую.
SPEAKER_15 | 1:5:44.832 --> 1:7:15.63 |  Знайдено труп невідомої особи, частково муміфікований, частково скелетований. На трупі одягнена військова форма російського зразка. На правому рукаві нашивка з написом «Росія». На правому нагрудному кармані георгівська стрічка. На лівому рукаві релігійна стрічка, на голові кевларовий шилом. На поясі ліворуч знайден саморобний ніж. На поясі праворуч пошкоджений магазин. На ногах взуття коричневого кольору чоботи на шнурках. Які тканини на лівій та правій кисти обличчя відсутні. Пакуємо.
SPEAKER_16 | 1:7:30.723 --> 1:7:35.9 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 1:8:3.275 --> 1:11:33.65 |  Моміфікований труп невідомої особи в військовій формі з піксельними малюнками оливкового кольору. На лівому рукаві знайден шеврон Збройних Сіл України. Під футболкою оливкового кольору знайдено два металевих військових жетона. Правий нагрудний карман має дефект, пустий. Зліва, в внутрішньому кармані, знайден мобільний телефон. Штаня ліворуч, знайдена аптечка. На ногах чоботи чорного кольору на шнурках. Дерце. М'які тканини голови лівої кисти та нижньої третини лівої та правої гомілки відсутні. Оголені кістки скелету. Давай, Мішок, пакуємо. Дякую за перегляд! Кладіть його сюди. В телефонному пакеті знайдено кістки скелета невідомої особи, а саме череп з відокремленою нижньою щелепою. Кребет та ребра, права та ліва лопатка, права плечова кістка, ліва плечова кістка, на якій знайден фрагмент тканини з написом «Народне ополчення Донбаса». Київська етаза, крижі, правонижня кінцівка.
SPEAKER_10 | 1:11:33.65 --> 1:11:34.162 |  Доброго виступа!
SPEAKER_05 | 1:11:34.347 --> 1:11:35.191 |  Нормально прийде.
SPEAKER_15 | 1:11:35.191 --> 1:11:38.870 |  Тримай, помаш під носом.
SPEAKER_10 | 1:11:35.917 --> 1:11:41.553 |  Тримай, помаж під носом. Ми всі через це проходили.
SPEAKER_11 | 1:23:13.630 --> 1:23:15.250 |  – Доброго дня. – Доброго дня.
SPEAKER_10 | 1:23:15.976 --> 1:23:16.718 |  Доброго дня!
SPEAKER_11 | 1:23:16.803 --> 1:23:17.5 |  Дякую.
SPEAKER_10 | 1:23:17.5 --> 1:23:21.713 |  Так, з документу. Хлопці!
SPEAKER_21 | 1:23:21.713 --> 1:23:21.747 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 1:23:25.72 --> 1:23:28.548 |  Ось так. Ось так. Ось так. Ось так. Ось так.
SPEAKER_19 | 1:23:31.771 --> 1:23:32.412 |  У-у-у!
SPEAKER_10 | 1:23:33.256 --> 1:23:38.977 |  Випусказморку.
SPEAKER_11 | 1:24:4.930 --> 1:24:7.360 |  Так, це вже можна.
SPEAKER_10 | 1:24:6.719 --> 1:24:7.175 |  Дякую за перегляд!
SPEAKER_11 | 1:24:9.31 --> 1:24:10.27 |  Таковий наступний.
SPEAKER_10 | 1:24:11.123 --> 1:24:15.443 |  Чекаємо ще результатів, десь не раніше, ніж через тиждень.
SPEAKER_02 | 1:24:16.102 --> 1:24:17.80 |  Доброго дня!
SPEAKER_10 | 1:24:16.996 --> 1:24:20.50 |  Давайте я вам продиктую.
SPEAKER_16 | 1:24:20.894 --> 1:24:21.181 |  Дякую.
SPEAKER_10 | 1:24:21.181 --> 1:24:22.42 |  Сорок сім.
SPEAKER_16 | 1:24:21.198 --> 1:24:21.518 |  Відсутні.
SPEAKER_10 | 1:24:23.611 --> 1:24:32.352 |  Шістдесят дев'ять, Ризка. Триста сорок дев'ять, Ризка. Тридцять один.
SPEAKER_06 | 1:24:35.322 --> 1:24:36.31 |  Дякуємо.
SPEAKER_10 | 1:24:37.27 --> 1:24:37.43 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 1:24:37.43 --> 1:24:37.145 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 1:24:37.145 --> 1:24:37.600 |  Дякую за перегляд!
SPEAKER_06 | 1:24:37.195 --> 1:24:38.5 |  Дякую за побачення.
SPEAKER_10 | 1:24:39.912 --> 1:24:41.431 |  Сергію, їдемо.
SPEAKER_11 | 1:24:43.962 --> 1:24:44.249 |  Дякую.
