SPEAKER_09 | 0:0:36.329 --> 0:0:38.67 |  Можемо починати, пані доктор.
SPEAKER_14 | 0:10:4.139 --> 0:10:30.565 |  Як це я маю до обіду все встигнути? Придумаєш щось. Степ, це придумаю. А як же? Не в жах, хтось інший рано встане, все купить, приготує. Так. Священники люблять рибу. Отже, лени. Лени по-французьки.
SPEAKER_03 | 0:10:37.214 --> 0:10:38.648 |  Що ж нам вигадати з меню?
SPEAKER_14 | 0:10:43.829 --> 0:10:48.790 |  Про це не турбуйся. Як добре.
SPEAKER_04 | 0:10:48.790 --> 0:10:50.815 |  І що б я без тебе робила?
SPEAKER_10 | 0:11:20.549 --> 0:11:20.566 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:11:20.566 --> 0:12:3.395 |  Якби ти тільки знала, як петро любить мене, неуж шо ти. Нач той їжак, то все через твої трави. А що тут гарно пахне? Це для нього.
SPEAKER_14 | 0:14:30.190 --> 0:14:30.680 |  Добраніч!
SPEAKER_31 | 0:14:59.975 --> 0:15:0.667 |  Орить!
SPEAKER_14 | 0:15:0.970 --> 0:15:3.788 |  Тссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссс
SPEAKER_31 | 0:15:3.198 --> 0:15:4.8 |  Дякую за перегляд!
SPEAKER_14 | 0:15:4.345 --> 0:15:7.568 |  Просто сон. Зараз, зараз усаминець.
SPEAKER_31 | 0:15:8.581 --> 0:15:9.458 |  Ну, сьогодні ж.
SPEAKER_14 | 0:15:15.922 --> 0:15:16.782 |  Так добре, правда?
SPEAKER_31 | 0:15:17.322 --> 0:15:17.575 |  Дякую.
SPEAKER_14 | 0:15:17.812 --> 0:15:18.841 |  Зараз дам вам ліки.
SPEAKER_31 | 0:15:19.516 --> 0:15:19.533 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:15:19.533 --> 0:15:43.57 |  Слухай, Стефо. Слухай уважно дитину. Ви з Аделою, як два дерева, що сплилися стовбурами. Подумай про неї. Подумай про своє життя. Тобі буде важко, але ти мусиш.
SPEAKER_14 | 0:15:44.238 --> 0:15:46.904 |  Що? Що?
SPEAKER_06 | 0:15:47.765 --> 0:15:53.30 |  А ти мусиш Аделі служити.
SPEAKER_10 | 0:16:55.552 --> 0:16:59.129 |  О, глянь, як вона рано встає, яка працює та смиренна дитина.
SPEAKER_22 | 0:16:59.585 --> 0:17:3.652 |  Але, мило, вона могла б переді замани купувати, яке марнотратство.
SPEAKER_12 | 0:17:22.636 --> 0:17:30.888 |  Проклята провінція. Дурнуватий будинок. Хочу до Відня.
SPEAKER_14 | 0:17:31.681 --> 0:17:32.896 |  Я теж хочу до Відня.
SPEAKER_12 | 0:17:33.503 --> 0:17:34.887 |  Тобі там не місце.
SPEAKER_14 | 0:17:35.39 --> 0:17:36.153 |  Чому це ти так вирішив?
SPEAKER_12 | 0:17:37.334 --> 0:17:39.612 |  Що за тон? Як ти смієш?
SPEAKER_14 | 0:17:39.933 --> 0:17:45.46 |  Провінція. Тут так розмовляють. А як не подобається, то я тебе зараз винесу на горище.
SPEAKER_28 | 0:17:48.978 --> 0:17:49.754 |  Хе-хе-хе.
SPEAKER_11 | 0:18:12.721 --> 0:18:13.970 |  Так.
SPEAKER_28 | 0:18:13.970 --> 0:18:14.37 |  Дякую!
SPEAKER_11 | 0:18:14.37 --> 0:18:25.73 |  Твої цілування, пані Стефо! Ну і пересіло! Лістаріка й село! Ти йдеш нам на користь визову! Як це? Іще трохи, і житимемо ми у Венеції!
SPEAKER_34 | 0:19:1.608 --> 0:19:1.878 |  Дякую.
SPEAKER_14 | 0:19:12.627 --> 0:19:14.129 |  Скільки хочете зеленів, пані?
SPEAKER_37 | 0:19:14.939 --> 0:19:17.420 |  Линів не мало. Лини дорогі.
SPEAKER_14 | 0:19:17.909 --> 0:19:23.900 |  Як це мало? Та ж навколо стільки води, що можна ловити їх голими руками. То прошуйте й ловити.
SPEAKER_11 | 0:19:28.388 --> 0:19:32.860 |  Та скільки? Вель, Велесуниню, кін бахер?
SPEAKER_36 | 0:19:37.602 --> 0:19:38.800 |  Чого бажаєте, моя пані?
SPEAKER_37 | 0:19:45.601 --> 0:19:50.883 |  Пані, чого справді мені вдавати, чи випукло осінь, що до нас прийшли?
SPEAKER_36 | 0:20:3.168 --> 0:20:7.117 |  Убито? Рибу забито?
SPEAKER_08 | 0:20:8.163 --> 0:20:9.698 |  Ні, не треба, дякую.
SPEAKER_14 | 0:20:34.370 --> 0:20:37.272 |  Дякую.
SPEAKER_36 | 0:20:37.913 --> 0:20:39.770 |  Треба було, щоб я забив їх для пам'яті.
SPEAKER_28 | 0:20:52.966 --> 0:21:4.188 |  Субтитрувальниця Оля Шор
SPEAKER_01 | 0:21:18.8 --> 0:21:44.671 |  А як вона гепнулась, га? Торби австрійських вояків так гупають, коли ті на підпитку жбурляють їх із вагонів на нашому вокзалі. Нє, ну це дуже смішно. Мені здається, я тоді надірвав собі плавальний міхур.
SPEAKER_14 | 0:21:54.475 --> 0:22:28.985 |  Тепер треба пропарити вас в укропі. Пів хвилини досить. Печориці. Спершу піддосити. Посікти молочком, змішати з печорицями. Додати соє, перця, зеленої петрушки, ложку масла розтерти з двома жовтками, дати вимочену булку, посічене молочко з грибами.
SPEAKER_09 | 0:22:40.38 --> 0:22:44.257 |  О, так, люкс. Тепер прошу до жару.
SPEAKER_14 | 0:23:5.570 --> 0:23:9.451 |  Давай, Степцю, влаштуємо такий обід, щоб той цілий парух ведемку з'їв.
SPEAKER_15 | 0:23:11.577 --> 0:23:18.7 |  Ти ще не готова? А мені вже час вбиратися, і ще зачіска. І чому ти досі не винесла мого ноцника?
SPEAKER_11 | 0:23:21.787 --> 0:23:30.612 |  Ти зовсім не спрягуйся, Степо. Я думала, у тебе все вже мусить бути готове. Може, мені вже й час безглухатися Петра і найняти іншу служницю.
SPEAKER_02 | 0:23:38.830 --> 0:23:46.795 |  О, Боже. Ставте.
SPEAKER_19 | 0:24:24.612 --> 0:24:29.540 |  Цікаво, який він, той новий перо? Петро сказав, що його дружина хвора на падучу.
SPEAKER_03 | 0:24:29.540 --> 0:24:29.573 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:24:29.573 --> 0:24:30.113 |  Ви доложні.
SPEAKER_03 | 0:24:30.113 --> 0:24:31.244 |  І крутися.
SPEAKER_15 | 0:24:47.815 --> 0:24:49.30 |  А рукавички є смирні.
SPEAKER_28 | 0:24:50.77 --> 0:24:50.110 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:24:50.110 --> 0:24:51.55 |  Доброго дня!
SPEAKER_28 | 0:24:51.55 --> 0:24:51.157 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:25:9.348 --> 0:25:10.242 |  Ти не повіриш.
SPEAKER_11 | 0:25:10.242 --> 0:25:13.972 |  Я ніхто пройшов!
SPEAKER_14 | 0:25:13.972 --> 0:25:15.592 |  Як пахне!
SPEAKER_20 | 0:25:17.768 --> 0:25:19.321 |  Слава Ісусу Христу!
SPEAKER_13 | 0:25:25.497 --> 0:25:27.185 |  Слава навіки.
SPEAKER_14 | 0:25:27.185 --> 0:25:35.403 |  Пізнаєш? Як же у вас тут гарно Як гарно
SPEAKER_34 | 0:25:37.6 --> 0:25:37.40 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:25:37.40 --> 0:25:37.495 |  До речі.
SPEAKER_34 | 0:25:38.491 --> 0:25:40.735 |  – Іванка Рідна. – Дуже приємно.
SPEAKER_14 | 0:25:40.735 --> 0:25:40.786 |  Субтитрувальниця Оля Шор
SPEAKER_34 | 0:25:40.786 --> 0:25:41.967 |  Пані Адельо, я...
SPEAKER_14 | 0:25:41.967 --> 0:25:43.688 |  Який у вас рібінетістий кадр?
SPEAKER_06 | 0:25:43.688 --> 0:25:43.807 |  Дякую.
SPEAKER_14 | 0:25:43.807 --> 0:25:44.650 |  Вітнути можна від краси.
SPEAKER_34 | 0:25:43.992 --> 0:25:44.330 |  можна відповідати.
SPEAKER_06 | 0:25:44.650 --> 0:25:44.667 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:25:44.667 --> 0:25:47.688 |  Ти? А які човітки, Йосифе?
SPEAKER_09 | 0:25:47.688 --> 0:25:52.565 |  А який бузь, куча пончохи! Йой!
SPEAKER_20 | 0:25:54.488 --> 0:26:3.938 |  Як добре, що ви з пані Аделою досі нерозлучні. Доктор тішився б з такої вірності. Я був впевнений, що ви давно вже вийшли заміж і покинули цей дім.
SPEAKER_21 | 0:26:4.141 --> 0:26:11.633 |  А що Стефан ніяк не наважиться ось щасливити якогось достойника? Ми вже й не знаємо, чим заслужили таке щастя, такий скарб тримаємо у хаті.
SPEAKER_19 | 0:26:12.865 --> 0:26:17.101 |  І все ж таки ніколи б не подумала, вам дуже пасуються облачення.
SPEAKER_20 | 0:26:17.793 --> 0:26:18.738 |  А вам заміж.
SPEAKER_19 | 0:26:19.919 --> 0:26:19.936 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:26:19.936 --> 0:26:21.860 |  Упевнена, у вас діточки будуть гарненькі.
SPEAKER_21 | 0:26:26.365 --> 0:26:28.19 |  Нас збираються на нього дувати чи як?
SPEAKER_19 | 0:26:49.906 --> 0:26:54.226 |  Пан отче, розкажіть, як вам нове місце, нова парафія, де раніше служили?
SPEAKER_20 | 0:26:54.631 --> 0:26:59.693 |  Я стожив у маленькому гуцульському селі нагорі, під самим небом. Звідти родом моя Іванка.
SPEAKER_32 | 0:27:0.115 --> 0:27:0.352 |  Дякую.
SPEAKER_21 | 0:27:10.915 --> 0:27:11.692 |  Ви ж завжди це знав?
SPEAKER_13 | 0:27:13.784 --> 0:27:15.910 |  Не знаю, не годиться.
SPEAKER_21 | 0:27:15.488 --> 0:27:16.957 |  Пісте, все невидурне, все відколеться.
SPEAKER_13 | 0:27:20.95 --> 0:27:20.112 |  Субтитрувальниця Оля Шор
SPEAKER_34 | 0:27:20.112 --> 0:27:20.990 |  Ммм.
SPEAKER_13 | 0:27:20.990 --> 0:27:21.7 |  Субтитрувальниця Оля Шор
SPEAKER_34 | 0:27:21.7 --> 0:27:23.909 |  Яка чудова зупа.
SPEAKER_19 | 0:27:31.486 --> 0:27:38.708 |  І все ж, отче, як же незвично вас так називати. Ви так були закохані. У медицину.
SPEAKER_24 | 0:27:38.135 --> 0:27:38.253 |  Дякую!
SPEAKER_19 | 0:27:39.518 --> 0:27:44.986 |  Батько завжди згадував Йосифа рідного як найздівнішого учня. Чому все так різко змінилось?
SPEAKER_20 | 0:27:46.235 --> 0:27:50.504 |  Пиріщить і пиріщить, як тут не згадати про Великі потопи на Євкопчинах.
SPEAKER_19 | 0:27:51.972 --> 0:27:52.495 |  Увага на екран!
SPEAKER_20 | 0:27:53.643 --> 0:27:58.486 |  Нічого не змінилося, Адельо, нічого не змінилося.
SPEAKER_23 | 0:28:0.5 --> 0:28:4.240 |  Мені здається, що я чую запах хліба, страху хліба хочеться.
SPEAKER_20 | 0:28:4.527 --> 0:28:5.827 |  Ну і наш Терівка.
SPEAKER_23 | 0:28:5.827 --> 0:28:5.995 |  Дякую!
SPEAKER_21 | 0:28:14.112 --> 0:28:24.963 |  І що цікаво, зникають коштовні речі не тільки з церков, але й з синагог. Кажу вам, отче, вся ця історія з грабунком храмів якось прив'язана до цирку. Що думаєш, Тепсю?
SPEAKER_14 | 0:28:26.735 --> 0:28:29.840 |  З яких тепер тебе цікавить думка, служнечі?
SPEAKER_12 | 0:28:37.400 --> 0:28:37.889 |  Дякую.
SPEAKER_14 | 0:28:40.488 --> 0:28:41.45 |  Як це?
SPEAKER_21 | 0:28:41.315 --> 0:28:42.23 |  Я не їм риби.
SPEAKER_14 | 0:28:42.918 --> 0:28:43.694 |  Відколи це?
SPEAKER_21 | 0:28:43.998 --> 0:28:45.196 |  Наші визнається до тим самим.
SPEAKER_14 | 0:28:45.770 --> 0:28:47.322 |  Але я вийняла всі кістки.
SPEAKER_21 | 0:28:47.727 --> 0:28:50.900 |  Ні, дякую, а хоч там смакує яйце головне.
SPEAKER_14 | 0:28:51.642 --> 0:28:52.148 |  Угу.
SPEAKER_28 | 0:28:52.148 --> 0:28:52.165 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:28:52.267 --> 0:28:52.705 |  Ммм.
SPEAKER_28 | 0:28:52.705 --> 0:28:52.722 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:28:54.241 --> 0:28:54.275 |  Субтитрувальниця Оля Шор
SPEAKER_32 | 0:28:54.275 --> 0:28:54.325 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:28:54.325 --> 0:28:54.410 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:28:54.410 --> 0:28:54.443 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:29:32.969 --> 0:29:35.399 |  А це я думала, це в тебе закоханий.
SPEAKER_06 | 0:29:42.655 --> 0:29:46.30 |  Порушення ергосистеми.
SPEAKER_15 | 0:29:49.675 --> 0:29:51.143 |  Давайте навчимо мені його готись.
SPEAKER_20 | 0:29:52.358 --> 0:29:57.725 |  Я дуже перепрошую, пані Стефанівні. Стефанчо!
SPEAKER_11 | 0:30:10.752 --> 0:30:11.967 |  Приваріть руки!
SPEAKER_35 | 0:30:26.648 --> 0:30:26.665 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:30:26.665 --> 0:30:26.986 |  Субтитрувальниця Оля Шор
SPEAKER_35 | 0:30:26.986 --> 0:30:27.3 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:30:27.914 --> 0:30:33.128 |  Абсолютно неприпустимо! І просто соромно врешті! Ти думаєш, я не знаю, що люди говорять?
SPEAKER_08 | 0:30:33.179 --> 0:30:34.934 |  Боже, як би ти витерпів чомусь, батько?
SPEAKER_21 | 0:30:34.934 --> 0:30:36.487 |  Батько, давай повз!
SPEAKER_30 | 0:30:36.487 --> 0:30:36.908 |  Дякую!
SPEAKER_21 | 0:30:36.908 --> 0:30:36.976 |  Дякую!
SPEAKER_30 | 0:30:36.976 --> 0:30:37.178 |  Дякую!
SPEAKER_08 | 0:30:38.309 --> 0:30:58.846 |  Патріон. Ставте. Я знаю, ти не спишеш.
SPEAKER_14 | 0:31:14.354 --> 0:31:15.46 |  Що тобі?
SPEAKER_08 | 0:31:31.921 --> 0:31:39.633 |  І не хоче на нього теж злочинитися. Так у яка робитиме свою роботу, мовчка, і не лягатиме з нами на пусту.
SPEAKER_14 | 0:31:44.830 --> 0:31:45.168 |  А я?
SPEAKER_02 | 0:31:45.168 --> 0:31:45.185 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:31:46.450 --> 0:31:46.501 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:31:46.501 --> 0:32:3.967 |  Мене куди? Він каже, що винайме тобі кімнату і платитиме. Каже, що власники камінниць на Бальведерській мають вільні кімнати. Леш, ти не підеш?
SPEAKER_08 | 0:32:3.967 --> 0:32:4.0 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:32:4.675 --> 0:32:4.709 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:32:4.709 --> 0:32:4.912 |  Дякую!
SPEAKER_02 | 0:32:4.912 --> 0:32:4.962 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:32:4.962 --> 0:32:9.147 |  Ні, не можу.
SPEAKER_21 | 0:33:18.98 --> 0:33:18.470 |  Ні, де.
SPEAKER_13 | 0:33:21.676 --> 0:33:22.773 |  Я не можу так більше.
SPEAKER_21 | 0:33:29.573 --> 0:33:45.436 |  Будь ласка. Вона не хоче, щоб ти йшла.
SPEAKER_13 | 0:33:49.469 --> 0:33:49.790 |  Дякую.
SPEAKER_21 | 0:34:5.804 --> 0:34:10.630 |  Я теж не хочу.
SPEAKER_06 | 0:34:10.630 --> 0:34:11.103 |  Залисять.
SPEAKER_34 | 0:34:55.990 --> 0:35:0.513 |  Дивись, новий.
SPEAKER_37 | 0:35:0.513 --> 0:35:1.36 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:35:1.36 --> 0:35:2.48 |  Ха-ха-ха!
SPEAKER_37 | 0:35:2.48 --> 0:35:2.757 |  Дякую!
SPEAKER_14 | 0:35:2.757 --> 0:35:3.871 |  Вона нам зазвичай...
SPEAKER_37 | 0:35:3.871 --> 0:35:3.972 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:35:3.972 --> 0:35:9.811 |  Все точно. Я перепрошую. Що? Доброго ранку.
SPEAKER_12 | 0:35:9.254 --> 0:35:11.144 |  – Доброго ранку. – Доброго ранку.
SPEAKER_14 | 0:35:11.735 --> 0:35:13.490 |  Мені треба до каплиці, прошу вас.
SPEAKER_12 | 0:35:12.983 --> 0:35:14.620 |  До в'язниць нема права.
SPEAKER_14 | 0:35:15.76 --> 0:35:16.88 |  Та ні, до каплиці.
SPEAKER_12 | 0:35:16.325 --> 0:35:18.974 |  Каплиця у в'язниці. У в'язниці нема права.
SPEAKER_14 | 0:35:19.379 --> 0:35:26.180 |  Але я до отця Йосифа! Він мене кликав. Прошу па!
SPEAKER_11 | 0:35:30.382 --> 0:35:34.162 |  Аго! Мене кликали! Чуєте?
SPEAKER_29 | 0:35:35.258 --> 0:35:38.971 |  І хто ж таку файну панюнцю закликав в це неприємне місце, а?
SPEAKER_14 | 0:35:40.473 --> 0:35:43.898 |  Потеть Йосиф казав зайти до ранішньої служби.
SPEAKER_29 | 0:35:45.29 --> 0:35:56.133 |  Мабуть, хотів відпустити панюнці гріхи. А що то в панюнців кошику? Може, бомба? Так. Маємо перевірити. Задля безпеки.
SPEAKER_14 | 0:35:57.162 --> 0:35:59.558 |  До гостинці. Для отця.
SPEAKER_30 | 0:36:2.343 --> 0:36:16.484 |  Вау! Ти диви, яке смакотиннє! А за хіба священнику можна? Це ж великий гріх!
SPEAKER_14 | 0:36:16.619 --> 0:36:17.834 |  Віддайте.
SPEAKER_28 | 0:36:17.227 --> 0:36:24.95 |  Ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей, ей,
SPEAKER_16 | 0:36:24.247 --> 0:36:27.352 |  Господи, свині.
SPEAKER_11 | 0:36:37.375 --> 0:36:39.265 |  Мерзенні пси!
SPEAKER_30 | 0:36:39.265 --> 0:36:39.451 |  Дякую!
SPEAKER_11 | 0:36:39.451 --> 0:36:40.92 |  Дякую за перегляд!
SPEAKER_30 | 0:36:41.594 --> 0:36:42.775 |  Нехабно служити!
SPEAKER_20 | 0:36:47.517 --> 0:37:3.869 |  Відпустіть її. Що сталося, Стефан? Чому ти тут?
SPEAKER_14 | 0:37:4.966 --> 0:37:4.983 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:37:4.983 --> 0:37:5.33 |  Дякую!
SPEAKER_14 | 0:37:5.33 --> 0:37:5.506 |  Хочеться.
SPEAKER_13 | 0:37:5.506 --> 0:37:6.333 |  Дякую.
SPEAKER_14 | 0:37:6.333 --> 0:37:7.379 |  Я мушу висповідатися.
SPEAKER_20 | 0:37:8.341 --> 0:37:14.146 |  Але я не можу, не маю права вершити таїнство тут, а до в'язниці тобі не вільно.
SPEAKER_14 | 0:37:15.40 --> 0:37:38.851 |  Чому не можна тут? Є грішниця. Є священник. Є Бог. Чого ще треба? Все життя я дбала лише про неї. Жила заради неї і заради нього. Всю любов свою віддавала. І доктор мене любив, як доньку. Навіть дав разом із нею до школи. А їй було згаздрісно.
SPEAKER_32 | 0:37:39.965 --> 0:37:55.658 |  Там прийшлися ленькі ляльі, гарні в них сумні, гарні коральі, а найгарніша ляля Рожева з цілого балу королева.
SPEAKER_06 | 0:38:0.485 --> 0:38:3.151 |  Від злоти, як твоє сердеcko.
SPEAKER_32 | 0:38:7.893 --> 0:38:9.361 |  Це вона вкрава.
SPEAKER_07 | 0:38:24.380 --> 0:38:32.834 |  Моя кавізелька такого ж кольору, як і її сукна. Сьогодні зранку переплутав в кишені. Це просто помилка, сестра.
SPEAKER_14 | 0:38:37.441 --> 0:38:47.482 |  Аделя завжди вважала, що доктор Анґер має любити тільки її. Воліла мати все, нічого не віддаючи й натобість. І тому Бог не дає їй дітей.
SPEAKER_20 | 0:38:48.747 --> 0:38:57.978 |  Гарі їх таки казати, Стефан. Спробуй пробачити Аделю. І сама попроси в неї пробачення.
SPEAKER_08 | 0:39:0.121 --> 0:39:0.678 |  За що?
SPEAKER_20 | 0:39:1.572 --> 0:39:10.988 |  Я знаю, як тобі тяжко. Стефо, все знаю. Прочитай нині 20 разів визнання вір.
SPEAKER_28 | 0:39:34.715 --> 0:39:43.34 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:39:55.133 --> 0:39:55.184 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:39:55.184 --> 0:39:55.927 |  Заштреп.
SPEAKER_03 | 0:39:55.640 --> 0:39:55.808 |  Дякую!
SPEAKER_14 | 0:40:0.483 --> 0:40:0.500 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:40:0.500 --> 0:40:0.972 |  і щодо...
SPEAKER_14 | 0:40:0.972 --> 0:40:3.149 |  Я тетя Дрогож, а тетя Радута.
SPEAKER_03 | 0:40:4.533 --> 0:40:5.377 |  І ти?
SPEAKER_14 | 0:40:5.377 --> 0:40:13.223 |  До майстерні свого чоловіка. А що я роблю у свій вільний час? Моя справа.
