SPEAKER_19 | 0:1:10.619 --> 0:1:11.277 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:15:58.700 --> 0:16:2.783 |  Бо кожен хоче боронитися. Та я нічого не кажу.
SPEAKER_01 | 0:16:3.340 --> 0:16:10.23 |  Єва, що ти хочеш з ним робити? Люди добрі, спам'ятайте, його хоче чоловіка вбити.
SPEAKER_18 | 0:16:10.276 --> 0:16:17.819 |  Жінко, я бачу, що ти боїшся. Та ти піди собі до сусідів та й переночуй там. А завтра прийдеш. Та я Андрійка прикопила б.
SPEAKER_17 | 0:16:18.157 --> 0:16:19.642 |  Я не вступлюся з хатом.
SPEAKER_18 | 0:16:20.97 --> 0:16:33.833 |  То горівку з нами будеш пити, але не вівкай. Ба спарю, лізь на піч та ісуй собі. Або дивись, або як хочеш. Ба-ба-ба, бо я Іване, не дивитися.
SPEAKER_30 | 0:16:34.188 --> 0:16:35.318 |  Увага на екран!
SPEAKER_18 | 0:16:51.755 --> 0:17:23.24 |  Дай Боже здоров'я чоловіче, я хочу до тебе напитися. Хто за кого буде мати гріх, я за тебе чи ти за мене, але гріх мусить бути. Та вже таке зайшло, що без гріха не обійдешся. Та й пий. Не хочу. Мусиш пити, як я просю. Гарівка тебе трохи одерзне, подгедь, уплошив.
SPEAKER_22 | 0:17:26.973 --> 0:17:51.931 |  Я не хочу з вами напиватися. Та давай на епію, але п'ять пальців на раз.
SPEAKER_02 | 0:18:50.386 --> 0:18:59.397 |  А скажи нам, чоловіче, відки ти зобрів у наше село?
SPEAKER_22 | 0:18:59.397 --> 0:19:5.354 |  Чи ти близький, чи далекий. Я звісно.
SPEAKER_18 | 0:19:21.993 --> 0:19:44.420 |  А якою ти ложе? Мужицькою? Міщанською чи панською? Бо інакше до тебе застосуємося. Мужикати отак б'яться.
SPEAKER_02 | 0:19:48.706 --> 0:20:53.978 |  Зо три рази лупеш доломаном по голові, а стільки ж раз по лиці, аби впав. Може, твердий до нього треба твердо братися. Ну, як під ногами, то легко робота. А пана рихтується на інший лад. Слюшній йому й не показуй, бо вмре одразу. Але пуши в ньому на страши. А як він делькотить на цілім тілі, то дай йому зо два рази по морді, але не дуже. І вже пан...
SPEAKER_18 | 0:20:53.978 --> 0:20:54.97 |  Дякую за перегляд!
SPEAKER_02 | 0:20:54.97 --> 0:21:3.901 |  Відтак, походи по нім трохи. Мінуту, дві.
SPEAKER_17 | 0:21:5.622 --> 0:21:12.338 |  Ви вже вирішили?
SPEAKER_18 | 0:21:12.338 --> 0:21:27.965 |  А лейбл береш на перший вогонь за пейси. Він б'ється, плюється, крутиться, як пружина. Але ти на то не дивишся.
SPEAKER_02 | 0:21:30.226 --> 0:21:40.317 |  Лише закладаєш великий палець межі малі, та й підребра його дюгом та дюгом.
SPEAKER_18 | 0:21:41.414 --> 0:21:52.79 |  Це легка пійка, але дуже болюча.
SPEAKER_19 | 0:21:49.767 --> 0:21:56.281 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха
SPEAKER_18 | 0:21:52.602 --> 0:21:54.323 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_17 | 0:21:54.323 --> 0:21:54.627 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:21:54.627 --> 0:21:55.32 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:21:55.32 --> 0:22:1.276 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 0:22:1.276 --> 0:22:1.613 |  Ну, а?
SPEAKER_22 | 0:22:1.613 --> 0:22:1.748 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:22:5.967 --> 0:22:7.267 |  То до якої віри пристаєш?
SPEAKER_22 | 0:22:12.8 --> 0:22:20.480 |  То газди таке, що як ви п'єте горівку, то ви мене жадним способом живого з рук не пустите.
SPEAKER_18 | 0:22:20.480 --> 0:22:20.497 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:22:22.302 --> 0:22:23.28 |  Хочете правду казати?
SPEAKER_18 | 0:22:23.28 --> 0:22:31.280 |  Добре, я правда кажу, що тобі люблю, а зараз б'єте?
SPEAKER_22 | 0:22:32.545 --> 0:22:32.663 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:22:32.663 --> 0:22:32.680 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:22:33.1 --> 0:22:40.966 |  Та дайте ще горілки, дай не п'юся. Аби мене знав, коли і як.
SPEAKER_18 | 0:22:42.63 --> 0:22:47.598 |  Пий, за таке діло пий, я не бароню. Але чоти нами...
SPEAKER_02 | 0:22:47.598 --> 0:22:47.834 |  Дякую за перегляд!
SPEAKER_18 | 0:22:47.834 --> 0:22:47.851 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:22:47.851 --> 0:22:47.868 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:22:47.868 --> 0:22:47.885 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:22:47.885 --> 0:22:48.290 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:22:48.290 --> 0:22:55.293 |  Мой, мой, я твердий, я камінний.
SPEAKER_02 | 0:22:55.293 --> 0:22:57.98 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:22:57.98 --> 0:22:59.258 |  але ніхто з моїх рук не верве.
SPEAKER_12 | 0:23:2.650 --> 0:23:6.616 |  За твоє здоров'я, Газдино, і за твоє.
SPEAKER_11 | 0:23:6.194 --> 0:23:6.363 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:23:7.139 --> 0:23:7.932 |  Рок сіту.
SPEAKER_17 | 0:23:18.547 --> 0:23:27.659 |  За вас не буду прийти.
SPEAKER_22 | 0:23:27.659 --> 0:23:39.33 |  Бийте, кілько хочете. Я вже злагоджений. Чекай, Брес.
SPEAKER_18 | 0:23:39.33 --> 0:23:39.83 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:23:39.83 --> 0:23:39.117 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:23:40.332 --> 0:23:44.247 |  Ми вже кондетні, але ми ще не кондетні. Ті поп'ять.
SPEAKER_22 | 0:23:44.247 --> 0:23:44.264 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:23:44.264 --> 0:23:45.817 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:23:45.817 --> 0:23:46.171 |  Дякую.
SPEAKER_18 | 0:23:46.407 --> 0:23:46.441 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:23:46.441 --> 0:23:53.360 |  Годній, а тебе доженемо, почнемо говорити.
SPEAKER_18 | 0:24:13.188 --> 0:24:23.9 |  «Виджу, люди, що буде біда. Виступив би мусить, а щось мене до нього тягне.
SPEAKER_22 | 0:24:26.502 --> 0:24:38.112 |  Він з вами, Тярне. Нехай. Пеймо, закусимо.
SPEAKER_16 | 0:25:1.585 --> 0:25:25.767 |  Звучить пісня.
SPEAKER_17 | 0:25:27.50 --> 0:25:29.918 |  Грає музика
SPEAKER_16 | 0:25:31.150 --> 0:25:36.635 |  Охисть мій...
SPEAKER_17 | 0:25:39.200 --> 0:26:12.38 |  Я кішок вишив дівчині і в ньому птіцько був. Зв'язок пішов, пропав.
SPEAKER_16 | 0:26:12.38 --> 0:26:13.0 |  Йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо
SPEAKER_17 | 0:26:13.0 --> 0:26:13.540 |  У-у-у.
SPEAKER_16 | 0:26:13.540 --> 0:26:14.924 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:26:34.178 --> 0:26:34.668 |  Гаразд.
SPEAKER_12 | 0:26:37.165 --> 0:26:37.773 |  Та й ти.
SPEAKER_22 | 0:26:38.684 --> 0:26:39.916 |  Не, я вас поцілую в руку.
SPEAKER_18 | 0:26:46.312 --> 0:26:52.893 |  Е-е, чоловіче, то ти дуже боїшся? Е-е, то не файно.
SPEAKER_02 | 0:26:52.893 --> 0:26:52.927 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:26:52.927 --> 0:26:52.943 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:26:52.943 --> 0:26:53.146 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:26:53.146 --> 0:26:56.32 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_12 | 0:26:56.32 --> 0:26:56.487 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:26:56.487 --> 0:26:56.504 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:26:57.112 --> 0:26:57.128 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:26:57.128 --> 0:27:3.153 |  Я не боюся, бігме, не боюся. І сто разів забужусь, вже не боюся.
SPEAKER_17 | 0:27:11.405 --> 0:27:17.969 |  Мені стало легко на душі
SPEAKER_12 | 0:27:17.969 --> 0:27:18.526 |  Дякую за перегляд!
SPEAKER_17 | 0:27:18.526 --> 0:27:18.577 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:27:22.272 --> 0:27:22.289 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:27:22.289 --> 0:27:23.116 |  Це я маю.
SPEAKER_22 | 0:27:23.116 --> 0:27:23.437 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:27:23.437 --> 0:27:23.977 |  Цього...
SPEAKER_12 | 0:27:23.977 --> 0:27:24.247 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:27:24.247 --> 0:27:29.866 |  Грізду в руку поцілувати. Чоловіче, лиши мене.
SPEAKER_27 | 0:27:30.170 --> 0:27:30.187 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:27:30.187 --> 0:27:30.203 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:27:30.203 --> 0:27:31.30 |  бо я м'який не знаю.
SPEAKER_18 | 0:27:31.30 --> 0:27:35.536 |  без сумління, я не хочу! Будь собі без мене!
SPEAKER_12 | 0:27:35.536 --> 0:27:35.553 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:27:35.789 --> 0:27:44.716 |  руку, газду, туму напускає. Чого він хоче? Ти, не боже, такого способу требуєш. А ми на це вчені.
SPEAKER_12 | 0:27:46.606 --> 0:28:0.393 |  Дайте руку, газда, але із щирого серця, бо як вам поцілую, то мені легко буде. Я вижив, що мені вже не ходити по світі, то хотів би випрощатися з вами.
SPEAKER_27 | 0:28:0.882 --> 0:28:4.915 |  Та не цілуй, бо я геть зм'якну. Я тобі і так простю.
SPEAKER_12 | 0:28:4.915 --> 0:28:31.966 |  Але я вас просю, дуже просю, бо я буду дуже тяжко вмирати. Я ще нікого в руку не цілував, аби ніби так із серцем.
SPEAKER_20 | 0:28:31.966 --> 0:28:32.67 |  Дякую!
SPEAKER_12 | 0:28:32.962 --> 0:28:32.978 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:28:32.978 --> 0:28:34.295 |  Вігме, ні!
SPEAKER_22 | 0:28:41.585 --> 0:28:44.909 |  Але я так хочу.
SPEAKER_18 | 0:28:44.909 --> 0:28:44.960 |  Дякую за перегляд!
SPEAKER_22 | 0:28:44.960 --> 0:28:44.977 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:28:44.977 --> 0:28:45.314 |  хоп.
SPEAKER_22 | 0:28:45.314 --> 0:28:45.331 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:28:45.466 --> 0:28:45.483 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:28:45.483 --> 0:28:45.550 |  Ні.
SPEAKER_27 | 0:28:45.550 --> 0:28:45.685 |  Дякую за перегляд!
SPEAKER_18 | 0:28:45.685 --> 0:28:45.787 |  Дякую!
SPEAKER_27 | 0:28:45.787 --> 0:28:45.938 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:28:45.938 --> 0:28:46.124 |  Дякую за перегляд!
SPEAKER_12 | 0:28:46.124 --> 0:28:46.141 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:28:46.343 --> 0:28:47.913 |  Не підходи подалеки, бо я кухать.
SPEAKER_12 | 0:28:47.913 --> 0:28:53.279 |  Батюк, не дригнеш! А, да, це що, дурить?
SPEAKER_22 | 0:28:53.279 --> 0:28:56.47 |  А я, Бігме, правду кажу.
SPEAKER_21 | 0:28:59.405 --> 0:28:59.422 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:28:59.422 --> 0:29:32.58 |  Я, ви бачите, як напився горілки і мені отак у голові утворилося, що я маю загинути і цього газду в руку поцілувати. аби мені Бог гріха зменшив.
SPEAKER_12 | 0:29:42.757 --> 0:29:45.980 |  Та дайте руку! Газ!
SPEAKER_17 | 0:29:45.980 --> 0:29:53.962 |  Я ж хотів з ним їхати. Куди їхати? Біг мене перешов, до Канади хотів.
SPEAKER_18 | 0:29:56.645 --> 0:30:8.963 |  Той злодій што, кою назайти хоче? Йдіть, Іване, геть від него.
SPEAKER_22 | 0:30:8.963 --> 0:30:19.105 |  Дякую за перегляд!
SPEAKER_18 | 0:30:19.105 --> 0:30:27.543 |  Давай ти горілки, Йоргій. Пиймо по три, аби мраз дістали люті.
SPEAKER_21 | 0:30:43.186 --> 0:30:43.372 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:31:3.773 --> 0:31:3.875 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:31:7.739 --> 0:31:15.586 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:31:15.586 --> 0:31:26.605 |  Найдіть, найдіть воєчку від мене, бо я зараз умру, я не боюся.
SPEAKER_17 | 0:31:27.78 --> 0:31:27.95 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:31:27.95 --> 0:31:27.112 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 0:31:27.112 --> 0:31:27.145 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:31:27.145 --> 0:31:34.216 |  Бігами не боюся, але мене такий неспокій треба.
SPEAKER_17 | 0:31:40.595 --> 0:31:40.747 |  Дякую!
SPEAKER_20 | 0:31:40.747 --> 0:31:40.898 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 0:31:40.898 --> 0:31:43.970 |  Чого ти боїшся?
SPEAKER_18 | 0:31:43.970 --> 0:31:44.392 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:31:45.421 --> 0:31:45.438 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:31:45.438 --> 0:31:46.248 |  Не мачиво.
SPEAKER_20 | 0:31:46.248 --> 0:31:48.37 |  Дякую.
SPEAKER_18 | 0:31:49.437 --> 0:31:58.364 |  Я тобі дам руку поцілувати. Вже дам. Наймені в іді б'ють, вже дам. На, цілуй, як ти собі жадаєш.
SPEAKER_26 | 0:32:3.72 --> 0:32:10.717 |  Достатньо вже, не може, достатньо. Не облапує мене, чуєш, бо мені такий встид, що не знаю, де подітися.
SPEAKER_20 | 0:32:11.71 --> 0:32:11.172 |  Дякую.
SPEAKER_26 | 0:32:11.172 --> 0:32:11.645 |  Ну...
SPEAKER_08 | 0:32:11.645 --> 0:32:11.678 |  Субтитрувальниця Оля Шор
