SPEAKER_08 | 0:0:31.520 --> 0:0:37.477 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:22:47.497 --> 0:22:48.205 |  200?
SPEAKER_15 | 0:22:48.290 --> 0:23:1.469 |  Да, двісті, ми зразу платимо. Давай, доставай Дині. Та то ж дорого двісті. Та не дорого, туди взагалі беруть, типу, триста. Давай, доставай.
SPEAKER_14 | 0:23:1.469 --> 0:27:34.118 |  Давайте так, двісті буде це з міста до села, ну і ще двадцяточку по місту накидаємо. Що, грузимо речі? Так, грузимо. Давай, доставай. Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Дякую за перегляд! Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Зачем треба було поїхати через дорогу?
SPEAKER_15 | 0:27:37.274 --> 0:27:49.795 |  Дійсно, мама, чому ви не поїхали по асфальті? Вони ж хірово стоять в цьому гасенні. Юра, а встанови десь, щоб вийти подихатися.
SPEAKER_14 | 0:27:49.795 --> 0:27:51.888 |  Ніде не остановлю. Їдемо, значить, їдемо.
SPEAKER_15 | 0:27:54.335 --> 0:27:56.377 |  Так що тобі, краще буде, коли я плюну прямо в салон?
SPEAKER_14 | 0:27:56.562 --> 0:28:0.578 |  Тебе блювану, я тебе щас блювану, тільки сидіння почистив.
SPEAKER_15 | 0:28:2.114 --> 0:28:3.413 |  Що може зробитися, минутишній?
SPEAKER_14 | 0:28:3.548 --> 0:28:5.489 |  Мами своєї спроси, що ти можеш зробити.
SPEAKER_15 | 0:28:5.607 --> 0:28:10.957 |  Тоді тобі погано, чи що? Та ні. Можеш все просто вийти, не триматися.
SPEAKER_14 | 0:28:18.280 --> 0:28:46.917 |  Я ще почувствував, почувствував, що не треба вас ще брати. Ще тоді почувствував на зупинці. Але жадність-то, сука, побігла. Ви можете мені, наконецто, сказати, чому треба було їхати саме цією дорогою? А? Чому?
SPEAKER_15 | 0:28:46.917 --> 0:29:11.875 |  Мам, ти чуєш чи ні? Людину ж запитую. Мама, а що через ваше отепрінькання можна почути? Що ви до мене пристали? Мені що, по-вашому, подобається ця дорога чи що? Тут завжди була хороша, грунтова дорога, тут завжди автобус наліво повертав. Я тому й сказала, бо тут на три кілометри коротше.
SPEAKER_14 | 0:29:11.943 --> 0:29:21.292 |  А яке вам справа, коротше або довгіше? Ви заплатили певну суму грошей. Це вже мої проблеми. Де і на скільки часу ми будемо їхати? Зрозуміло?
SPEAKER_15 | 0:29:21.427 --> 0:29:28.835 |  Ось саме, що це не твої проблеми. Я заплатую тобі великі гроші і я буду тобі говорити, хочу я швидко їхати, або медліно.
SPEAKER_14 | 0:29:28.835 --> 0:29:37.357 |  А ви впевнені, що сюди і буде швидше, дівчинка? Може ми взагалі зараз сідаємо на якусь яму і все, кирдик? Привіт, приїхали!
SPEAKER_15 | 0:29:37.475 --> 0:30:13.368 |  Хто ти такий, скажи мені, будь ласка, щоб спитати у мене, впевнена я чи не впевнена. Я ще раз тобі повторюю, заплатила тобі великі гроші. І ти повинен вивезти мене туди, куди я скажу. І виключи, блядь, усе пілікання, конець-концов. Що таке? Я не зрозуміла. Ти чого став? В чому справа, я тебе спитаю? Та не трогай його зараз. Він походить і відійде. Ти ж дістала його. Я розумію його. Розумію, що ти розумієш? А то розумію, що він волнується на рахунок машини.
SPEAKER_10 | 0:30:11.225 --> 0:30:11.444 |  А то?
SPEAKER_15 | 0:30:13.891 --> 0:30:31.593 |  Тут ж явно тільки трактора їздять. Що, якщо дійсно щось зламається, ага? А скільки грошей я заплатила, ти розумієш? Так що ти заплатила, щоб пограбити машину? Я заплатила, блядь, чи бідила? Ти заплатила, щоб таксі довезло тебе до села, от воно й везе. Ти не треба їм корувати, тому що це його робота. І водій тим краще знає, куди ми їдемо. Що ж тут взагалі ніякого не було? А я знаю, куди треба йти.
SPEAKER_03 | 0:30:20.759 --> 0:30:22.413 |  Ти завладила, щоб таксі довезло?
SPEAKER_14 | 0:30:38.444 --> 0:30:40.334 |  Ану вон з машини! Вилазьте!
SPEAKER_15 | 0:30:40.925 --> 0:30:42.376 |  Я не зрозуміла, чого я повинна вилазити?
SPEAKER_14 | 0:30:42.376 --> 0:30:52.568 |  Я сказав, блядь, вон з машиною, ви двоє встали і пішли! І грошей мені ваших ніхіра не треба. Забирайте все до однієї копійки.
SPEAKER_05 | 0:30:55.808 --> 0:30:55.842 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:30:55.842 --> 0:30:55.859 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:30:55.859 --> 0:30:56.602 |  ПОНЯТНО!
SPEAKER_15 | 0:30:56.602 --> 0:32:6.953 |  Не, ну ти глянь, бидло яке, це взагалі вже. Юра, тільки спокійно послухай, я доплачу тобі, 20 гривень доплачу, обіцяю, вона буде всю дорогу. Дорогу мовчать. Пожалуйста, обіщаю. Тридцять доплачу. Пожалуйста.
SPEAKER_12 | 0:33:7.687 --> 0:33:10.454 |  Їй! Шо?
SPEAKER_06 | 0:33:10.808 --> 0:33:11.281 |  Ух!
SPEAKER_12 | 0:33:11.281 --> 0:33:30.907 |  Гріша, я тобі вже казав, отримаєш паспорт, отримаєш сигарету. Чого, не розумієш?
SPEAKER_11 | 0:33:34.282 --> 0:33:45.892 |  Я кажу, що ти, ще маленький, від курива будеш кашляти, розумієш? Ну, ти!
SPEAKER_05 | 0:33:49.334 --> 0:33:54.177 |  Вау! Треба! Треба! Треба! Сінка! Тобі мовка відірву!
SPEAKER_16 | 0:33:59.442 --> 0:34:17.515 |  Де її тут сарпаділа? Наче хтось дівано. Може сюди закинула.
SPEAKER_08 | 0:34:23.135 --> 0:34:35.48 |  Дякую за перегляд!
SPEAKER_16 | 0:34:45.882 --> 0:34:53.88 |  А куди ще без сирпи? Ой, не сир у мамі.
SPEAKER_09 | 0:34:54.708 --> 0:35:3.314 |  Дякую, дядько. Дякую, дядько. Дякую, дядько.
SPEAKER_12 | 0:35:21.944 --> 0:35:22.822 |  Баба Зіна!
SPEAKER_11 | 0:35:43.848 --> 0:35:44.877 |  Баба Зіна!
SPEAKER_16 | 0:35:45.518 --> 0:35:49.282 |  Худи пішов ти? Худи пішов ти?
SPEAKER_11 | 0:35:51.880 --> 0:35:52.893 |  Не вийшло.
SPEAKER_16 | 0:35:53.973 --> 0:35:55.36 |  Дякую за перегляд!
SPEAKER_11 | 0:35:55.424 --> 0:35:58.23 |  Я хотів в тайкома пробратися.
SPEAKER_16 | 0:35:58.732 --> 0:36:13.109 |  Я тебе проберусь! От от осі дай! Не занось мені в хату тої біди! От коли дід умер, в хаті одного алкоголіка не було.
SPEAKER_12 | 0:36:13.953 --> 0:36:14.678 |  Авазійно.
SPEAKER_16 | 0:36:14.915 --> 0:36:15.337 |  Ого!
SPEAKER_12 | 0:36:15.640 --> 0:36:16.433 |  Тож не зараза.
SPEAKER_16 | 0:36:16.872 --> 0:36:20.213 |  Не заразне, азітки ти взяв, те не заразне.
SPEAKER_12 | 0:36:23.420 --> 0:36:26.103 |  Звідки, звідки? З Ослобідки.
SPEAKER_11 | 0:36:53.373 --> 0:36:58.216 |  Баба Зіна, ще трохи. Ще.
SPEAKER_16 | 0:36:58.874 --> 0:37:31.713 |  Хватить, все, пей. Ой, забула. На закуси.
SPEAKER_12 | 0:37:33.130 --> 0:37:33.620 |  Дякую.
SPEAKER_16 | 0:37:33.923 --> 0:38:3.303 |  Закуси, кажу. Що, важко без Галю? Славік, Славік. Ти ж мов будь моїм зятем. Ти мій так нравився.
SPEAKER_11 | 0:38:4.602 --> 0:38:9.142 |  Ні, не мог. Я діду вашого боявся.
SPEAKER_16 | 0:38:9.563 --> 0:38:9.580 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:38:9.580 --> 0:38:9.884 |  Дякую.
SPEAKER_16 | 0:38:17.56 --> 0:38:18.305 |  Може тобі штани якісь дати?
