SPEAKER_18 | 0:1:36.860 --> 0:1:37.484 |  Дякую!
SPEAKER_11 | 0:8:0.7 --> 0:8:6.487 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха
SPEAKER_14 | 0:8:7.702 --> 0:8:9.963 |  Тебе сяде, аукала. Члаб додому.
SPEAKER_11 | 0:8:9.963 --> 0:8:22.28 |  Що я в того доктора забула? Якщо нічого страшного, то й саме пройде. А якщо щось страшне, то й нічого не значить. Моя сестра вчилася таких глупостей говорити. А, а толку, що я вчилася?
SPEAKER_14 | 0:8:22.28 --> 0:8:40.962 |  Та й за що їх куплять? Ой, правда. Видить Бог, не любила я советську власть. Але тоді щось понятно було. А щось ніхера не різні. В шоку, да. От і низький глядочка. Якось буде. Я травички надьоргаю, пошевчу, цілючу. Без тої хімії обійду.
SPEAKER_11 | 0:8:40.962 --> 0:8:55.812 |  Іди ти зі своєю травою, один човт знайде, де ти її дареш. Убити нас усіх хочеш? Олі. Оболоч. Шапка де?
SPEAKER_17 | 0:8:58.698 --> 0:8:59.204 |  Ось сьо.
SPEAKER_11 | 0:8:59.390 --> 0:9:3.254 |  Ось о! Я ту шапку для чого дала? Щоб ти її на голові носив, а не в штанях!
SPEAKER_17 | 0:9:3.895 --> 0:9:4.942 |  Жарко в ній.
SPEAKER_11 | 0:9:5.212 --> 0:9:7.523 |  Надує, то буде потім тобі жарко. Отінь, кажу.
SPEAKER_14 | 0:9:9.515 --> 0:9:10.493 |  Вовочка!
SPEAKER_11 | 0:9:12.856 --> 0:9:17.547 |  А йде до бабуні на ручки, а? Мать, ти шо, вже взагалі чешу?
SPEAKER_17 | 0:9:19.741 --> 0:9:21.850 |  Мама каже, що я дорослий вже, щоб не ручки.
SPEAKER_14 | 0:9:22.272 --> 0:9:27.875 |  Правильно мама каже, так а давай бабуня тобі на ручки сяде чи що.
SPEAKER_11 | 0:9:29.562 --> 0:9:32.60 |  Мать, ти що, вже рьохнулася? Чесне слово!
SPEAKER_17 | 0:9:33.359 --> 0:9:37.510 |  Нєба, ти теж доросла, не можна тобі на ручки ходити.
SPEAKER_14 | 0:9:39.130 --> 0:9:46.49 |  Так, а що нам робити тоді, а? Що нам робити?
SPEAKER_17 | 0:9:49.660 --> 0:9:55.550 |  А давай я тобі на ручки сяду. Так правильніше буде. Ти ж старша, ніж я. А давай.
SPEAKER_28 | 0:10:1.523 --> 0:10:6.805 |  Твоя робота! Твоя робота! Я так і знав, що ти скрисятий!
SPEAKER_14 | 0:10:10.467 --> 0:10:11.480 |  Не буду кричати.
SPEAKER_17 | 0:10:15.192 --> 0:10:15.715 |  Правда?
SPEAKER_14 | 0:10:18.314 --> 0:10:18.753 |  Правда.
SPEAKER_17 | 0:10:20.930 --> 0:10:21.875 |  Правда про правду?
SPEAKER_14 | 0:10:23.765 --> 0:10:26.853 |  Правда про правду.
SPEAKER_17 | 0:10:28.85 --> 0:10:34.970 |  Ну, добре, що не кречеш, а то мама сказала, що ти будеш крепко сваритись. Так і сказала.
SPEAKER_14 | 0:10:37.383 --> 0:10:40.994 |  Та шо, виходить, мамка знала, що ти мені таку заразу наробив?
SPEAKER_17 | 0:10:41.467 --> 0:10:49.972 |  Ну, да. Я в неї дозволу спрашував, а вона сказала, що ти будеш крапко сваритися. Але все одно дозволила. Але ж ти не будеш кричати.
SPEAKER_14 | 0:10:50.967 --> 0:10:55.135 |  Ні, на тебе не буду. Ти гадина!
SPEAKER_08 | 0:10:55.135 --> 0:10:57.532 |  Чи слово ти знала, вся скотина така?
SPEAKER_11 | 0:10:59.33 --> 0:11:6.526 |  Спасібо тобі, Вова! Спасібо! Значить так, от ніяких вам не парвареників, наварю картоплі і жріть!
SPEAKER_18 | 0:11:11.740 --> 0:11:16.853 |  Хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-
SPEAKER_14 | 0:11:18.794 --> 0:11:30.33 |  Хе-хе-хе! Котику-муркотику! О, тьотече, ти про бабуся хвилювався, а? Боявся, щоб бабуся радіацією не нажерлася.
SPEAKER_15 | 0:11:22.152 --> 0:11:25.966 |  О, тетя, тебе про бабусю хочеться?
SPEAKER_14 | 0:11:30.539 --> 0:11:34.741 |  Ти забув, Вовка, що бабусям радіація дуже корисна.
SPEAKER_17 | 0:11:35.365 --> 0:11:38.133 |  Та ти це вже говорила. І не раз.
SPEAKER_14 | 0:11:38.133 --> 0:11:43.668 |  Ну, чого ж ти лишив бабусю без такого смачного і полезного м'яса?
SPEAKER_17 | 0:11:47.313 --> 0:11:50.232 |  – Чого? – Бо я не про бабусю переживав.
SPEAKER_07 | 0:11:50.502 --> 0:11:52.72 |  Ой, вон я!
SPEAKER_14 | 0:11:54.46 --> 0:11:55.582 |  А про кого ти переживав?
SPEAKER_17 | 0:11:56.105 --> 0:12:4.660 |  Про кого? Про бідних зайчиків і козуль, яких бабуся безкінечно жере.
SPEAKER_07 | 0:12:5.909 --> 0:12:7.462 |  Про зайчиків і козок.
SPEAKER_17 | 0:12:7.681 --> 0:12:9.638 |  Та, а ше кабанчок.
SPEAKER_15 | 0:12:13.638 --> 0:12:17.603 |  Ти вилупок ти! Бироток! Щоб тебе, черти, помрали!
SPEAKER_16 | 0:12:20.152 --> 0:12:26.24 |  Я знайшов місце, де ти їхні кістки ховаєш. Баба, ти, напевне, вовк.
SPEAKER_08 | 0:12:30.952 --> 0:12:42.410 |  А я казала? Казала, що баба Будилоїця? Казала? Будеш за мною стежить, от веду тебе в болото ліс. Там тобі русалка Ковенюкою, як тарахне по голові, насмерть заб'є.
SPEAKER_32 | 0:14:40.12 --> 0:14:40.906 |  Пей, Вовка, спей.
SPEAKER_11 | 0:15:5.797 --> 0:15:8.969 |  Дядь, ти чого?
SPEAKER_02 | 0:15:10.825 --> 0:15:11.433 |  Онтуюсь.
SPEAKER_11 | 0:15:16.597 --> 0:15:17.221 |  А що це?
SPEAKER_03 | 0:15:20.56 --> 0:15:21.136 |  що сюди приймати і говорити.
SPEAKER_11 | 0:15:25.17 --> 0:15:30.215 |  Добре горить. Ой, господи, тільки б до нас не дійшло.
SPEAKER_03 | 0:15:33.134 --> 0:15:37.758 |  Ну ти що, шо таки влаштований? Дай припити.
SPEAKER_10 | 0:15:44.727 --> 0:15:45.470 |  Петя...
SPEAKER_18 | 0:15:49.283 --> 0:15:50.633 |  Пошли звані.
SPEAKER_03 | 0:15:59.999 --> 0:16:1.737 |  Зараз до критерії.
SPEAKER_35 | 0:16:3.779 --> 0:16:4.488 |  Кінець брифінгу.
SPEAKER_18 | 0:16:31.808 --> 0:16:32.703 |  Красиво.
SPEAKER_15 | 0:16:43.975 --> 0:16:46.878 |  Я з ним всього йду, бережи ласки, учення ваші.
SPEAKER_31 | 0:16:46.878 --> 0:16:59.264 |  Це не учення, це об'явлено радіаційну тривогу. Він солдатами зі виноморщиками бігає. Це справжня радіаційна тривога, мать, це біда.
SPEAKER_15 | 0:16:58.893 --> 0:17:3.179 |  Яка піда? Знову зі своєю радіацією? Покажи мені, де ця радіація? Та нема її!
SPEAKER_22 | 0:17:4.208 --> 0:17:6.976 |  Ти розумієш, що нас накажуть, а ти будеш винна?
SPEAKER_15 | 0:17:8.225 --> 0:17:8.545 |  Дякую!
SPEAKER_22 | 0:17:8.545 --> 0:17:8.967 |  Дякую!
SPEAKER_31 | 0:17:9.355 --> 0:17:14.823 |  Я сказала, не поїжджу. Чого? Мінтих, будинок за будинком шманають, вон, кожну шпарину.
SPEAKER_15 | 0:17:14.823 --> 0:17:23.969 |  Ай, все! Дістави мене вже з цими ментами! Мені все одно, як я поїду, в мене тут хазяйство, город, хата! До кого я це саду? А ти пошти, пошти!
SPEAKER_11 | 0:17:21.961 --> 0:17:29.32 |  Пожди-пожди, от міліція те з силою вивезе, позору на все село буде. Пошли.
SPEAKER_15 | 0:17:29.32 --> 0:17:30.179 |  У мене ж раку цілої!
SPEAKER_11 | 0:17:30.179 --> 0:17:30.989 |  Дякую за перегляд!
SPEAKER_15 | 0:17:30.989 --> 0:17:41.637 |  Я в блоту піду, в мене там місце є потаємне. А ти, чорт в боги, будеш мені командувати тут! Я тобі голову відріжу!
SPEAKER_11 | 0:19:4.21 --> 0:19:4.544 |  Вася.
SPEAKER_32 | 0:19:9.573 --> 0:19:10.332 |  Дякую, дядь.
SPEAKER_18 | 0:19:17.892 --> 0:19:18.787 |  Дякую.
SPEAKER_11 | 0:19:38.480 --> 0:19:39.87 |  Паразит.
SPEAKER_12 | 0:19:39.87 --> 0:19:39.357 |  Дякую.
SPEAKER_17 | 0:19:42.158 --> 0:19:48.622 |  Чого? Що це ти там робиш, а? Так, нічого. Сама ж кроп сушений хотіла.
SPEAKER_11 | 0:19:51.85 --> 0:20:0.822 |  Ти дивися, синок, мені. Пісюна не дергай, зрозумів? А то роги повиростають. І руки помий. На всякий випадок.
SPEAKER_17 | 0:20:1.430 --> 0:20:3.522 |  Чого їх мити? Я ж нічого не діргаю.
SPEAKER_06 | 0:20:26.219 --> 0:20:26.945 |  Живіше!
SPEAKER_11 | 0:20:29.527 --> 0:20:32.463 |  Та живіще не діждася.
SPEAKER_04 | 0:20:35.146 --> 0:20:42.841 |  Слава Богу, бензіану. Ну шучу я, шучу.
SPEAKER_11 | 0:20:43.651 --> 0:20:48.190 |  Молитву ціпиш, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка, хлібопродавка,
SPEAKER_06 | 0:20:47.482 --> 0:20:50.890 |  А чому повзе там по дорозі мишок тягне?
SPEAKER_11 | 0:20:51.25 --> 0:20:53.843 |  Чого таке? Чого ж не підійшла рандомно?
SPEAKER_06 | 0:20:54.12 --> 0:20:57.944 |  Чистий салон та щит. Я з тобою побалакать хотів би з відмінною дішею.
SPEAKER_24 | 0:20:57.944 --> 0:21:2.990 |  А, ну якщо такі писатки не поможуть у своєму батьківі, то це результативно буде.
SPEAKER_28 | 0:21:4.880 --> 0:21:7.664 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:21:7.968 --> 0:21:21.383 |  М-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-
SPEAKER_06 | 0:21:22.885 --> 0:21:23.780 |  Я ж за вас.
SPEAKER_11 | 0:21:23.965 --> 0:21:28.876 |  Автолавка раніше приїжджала, і світло було, поки якась сволота провода не вкрала.
SPEAKER_06 | 0:21:30.884 --> 0:21:31.728 |  А то коли було?
SPEAKER_11 | 0:21:31.728 --> 0:21:34.968 |  От іменно, от іменно, а ти ще до цього продаш.
SPEAKER_06 | 0:21:34.968 --> 0:21:36.419 |  Шукаєш злодіївого овця?
SPEAKER_11 | 0:21:36.723 --> 0:21:37.27 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:21:37.533 --> 0:21:48.12 |  А то вам ніякі провода сюди тягнути не буде. Їдьте, кажу, і бабку з сином бери. Одне нормальне рішення. По-хорошому кажу.
SPEAKER_20 | 0:21:51.860 --> 0:21:53.969 |  Дядь Вася! Трамп туди там! Трамп!
SPEAKER_08 | 0:21:53.969 --> 0:21:56.129 |  Стій стріляти!
SPEAKER_06 | 0:21:55.420 --> 0:21:56.703 |  Стій! Стріляти буду!
SPEAKER_08 | 0:21:56.703 --> 0:21:58.829 |  Супостат тот і актот!
SPEAKER_06 | 0:22:0.601 --> 0:22:5.123 |  Я не зупиняюся, бо треба тобі прийняти.
SPEAKER_07 | 0:22:11.536 --> 0:22:12.700 |  Так не задорнаш, так.
SPEAKER_11 | 0:22:15.417 --> 0:22:19.501 |  Мать, ну здались тобі ті подарейки. Він нас знову виселяти зібрався. Зараз я розберусь.
SPEAKER_06 | 0:22:20.277 --> 0:22:24.428 |  Я про сик прийшов по-людськи, виселять то зовсім інші люди прийдуть.
SPEAKER_11 | 0:22:24.918 --> 0:22:32.39 |  Бандити? Ми чули, воно у малих кліщах пасіку розстріляли, а старі з того меду тільки й жили. Чайну ложку зі смальцем
SPEAKER_14 | 0:22:32.39 --> 0:22:52.340 |  Змішаєш, на голову намастиш, не на ту голову, а на цю. Полчаса потримаєш, потім шматкою все витриш, залетить, навіть пікнути не встигне, жона залетить. Потім знову прийдеш, як закінчиться з батарейками, понятно, Вася?
SPEAKER_06 | 0:22:52.610 --> 0:23:3.832 |  М-м-м, зрозуміло, що тут не зрозуміло. Якщо беремена буде, кину ментуру, поїдем далі звідси, я їй обіцяв.
SPEAKER_14 | 0:23:4.777 --> 0:23:6.582 |  Обіцяв, значить, так і буде.
SPEAKER_06 | 0:23:10.970 --> 0:23:14.986 |  Якщо бабка так і буде, Вік тебе не забуде.
SPEAKER_14 | 0:23:17.652 --> 0:23:25.381 |  А ти бачиш, що в нас міліція, так? Начальство! Чого бандитів не ловиш? Мені взяти твого пістолета самі порядок наводить.
SPEAKER_06 | 0:23:27.271 --> 0:23:36.147 |  Це вони десять років тому були бандитами. А тепер вони — власть, депутати, бізнесмени.
SPEAKER_11 | 0:23:36.350 --> 0:23:39.961 |  Вась, а як же ж радіація? Хіба не бояться?
SPEAKER_06 | 0:23:42.458 --> 0:23:52.887 |  День-два побавляться, на тачках поганяють, дичину постріляють та й додому поїдуть, з них не станеться.
SPEAKER_14 | 0:23:52.887 --> 0:24:18.554 |  От я й кажу. Нема ніякої радіації. Це все собака Горбачов вигадав. Щоб людей відсилить. Знаєш, Васька, як тут було до аварії? Лиса, господарство, поля, городи. О, де три сосни бачиш, там у нас був величезний продуктовий магазин. Сільпо. Все можна було в ньому купити.
SPEAKER_06 | 0:24:18.841 --> 0:24:20.73 |  Не знаю, не бачу.
SPEAKER_14 | 0:24:21.406 --> 0:24:26.941 |  Я ж кажу, магазин був величезний, все можна було в ньому купити.
SPEAKER_11 | 0:24:26.941 --> 0:24:33.33 |  Що там можна було купити, а? Ну, скажи мені, будь ласка. Ось, полички були заставлені одним березовим соком.
SPEAKER_14 | 0:24:33.33 --> 0:24:44.963 |  Як же, хліб свіжий був щодня, кірка в томаті була, рахат-лукум смачніший, голова Соня Шликова. Одного разу навіть згущенку привезли, поки я бігала.
SPEAKER_11 | 0:24:44.963 --> 0:24:46.870 |  А Горбачев, значить?
SPEAKER_14 | 0:24:45.790 --> 0:24:46.735 |  Харбачов, значить?
SPEAKER_11 | 0:24:47.140 --> 0:24:52.34 |  Пожалуйста, давай, зав'язуйся своїми історіями. Це не історії. Це свята правда насправді.
SPEAKER_14 | 0:24:52.34 --> 0:24:53.114 |  Мовчіку ми не знаємо.
SPEAKER_17 | 0:24:53.333 --> 0:24:54.329 |  Що це за історія, ба?
SPEAKER_14 | 0:24:54.852 --> 0:25:6.783 |  – А ти теж не знаєш, дитя? – Ні. Це така страшна історія. Хто її розповідає, тому голову відриває.
SPEAKER_06 | 0:25:8.909 --> 0:25:9.837 |  Ого!
SPEAKER_11 | 0:25:11.2 --> 0:25:14.123 |  Ну серйозно, ну давай без історій своїх, ну не до історій зараз.
SPEAKER_06 | 0:25:14.157 --> 0:25:20.536 |  Люблю я і історії. Ну давай, бабу Приська, віщай.
SPEAKER_14 | 0:25:42.895 --> 0:27:3.153 |  Значить це так. З давніх-давен, шо в нас тока не було? Мавки-нявки, духи польові, нечистю сіляка. А кров людська лилася ріками усі часи. Татари нас виганяли, гвалтували. Потім поляки прийшли. Ой, різали, рбали. Далі кацапи поприпиралися. Та вже нас нищили, мордували. Ось тут, прямо біля нас, 90 українських хлопців молоденьких замучили. Після цього Голодомор. Ні один враг такого ще не придумував. Мільйони людей голодом попивали. А Сталін додумався. Супостат бізьо. Потім Німчура. Ну ми тут з ними безстро розібрались. Потім знову совєцька власть. Ну жах, коротше. А після війни почали тут літати ті тарілки-літателі. Всякі там сині чоловічки, зелені курдуплі. Що тут тільки військові наші не витворяли, щоб їх споймати. Ні хера. А ось раптом, неожиданно, у 1985-му ті самі тарілки пішли з нашими властями на контакт. Ти понімаєш, Вася, до чого я веду?
SPEAKER_06 | 0:27:6.983 --> 0:27:11.894 |  Ну, так. Шапку вдень. Інопланетяни все-таки.
SPEAKER_14 | 0:27:14.543 --> 0:28:22.246 |  Ніхера ти не розумієш. Горбачов? Тот гадіна одразу докумекав, що то є шанс для СРСРу догнать і перегнать Америку і Європу в розвитії. Що він паразит вигадав? Хоча сам би він, звісно, не догадався, то йому підказала дружина його, та Раїса Максимовна. Умна була жінка. Задумав Горбачов тут базу для приземлень тих самих літательних тарелок влаштувати. А щоб ніхто під ногами не вплутався, вирішено було людей відсюди всіх відселити. У 1986-му устроїли тут аварію. Людей, значить, розігнали і будь здоров. А з самого Києва до Чорнобиля секретну гілку метро прокопали, яка досі функциклює. Але тут на зло завалився СРСР і всі плани накрились м'єдним тазіком. Ну, тарелки й далі літають, так по ночах, з вимкненими фарами. Кажуть, що ті сині чоловічки через ту стратегічну лінію метро, перевитягнувшись у нормальних людей, просучились в уряд і парламент. Тепер ти розумієш, Вася, про що я?
SPEAKER_06 | 0:28:23.697 --> 0:28:24.727 |  Нє, не очень.
SPEAKER_14 | 0:28:25.368 --> 0:28:40.268 |  Тож, байвоно, тепер вони складають уряд і парламент в Україні і роблять свої експерименти над населенням для повного і окончательного нашого знищення. Тільки ти вась, Каніка, ну...
SPEAKER_06 | 0:28:41.230 --> 0:28:41.652 |  Угу.
SPEAKER_14 | 0:28:42.749 --> 0:29:2.662 |  Ти не обгукай, то страшна є тайна, вони, як знають, що ти знаєш, всунуть тобі свої трубки в хребет і висуть весь твій спинний мозок. Хе-хе, мене вони не чіпають, я їх зайцями прикормила, а пожирати вони люблять.
SPEAKER_17 | 0:29:3.286 --> 0:29:6.188 |  Так ось що ти із зайцями робиш.
SPEAKER_05 | 0:29:11.470 --> 0:29:14.187 |  Піндує, бабка. Роботи багато.
SPEAKER_11 | 0:29:22.777 --> 0:29:25.831 |  Васючка, подивися, ми вже все-таки пообідаємо.
SPEAKER_14 | 0:29:26.118 --> 0:29:30.67 |  На, у нас все свіжаше, все домашнє.
SPEAKER_06 | 0:29:31.197 --> 0:29:34.403 |  Ні, їжте своє домашнє, без мого участя.
SPEAKER_14 | 0:29:36.547 --> 0:29:45.642 |  Анастій! Знаєш, що у тебе під ногами? Те саме стратегічне метро, яке Горбачов побудував синіми чоловічками.
SPEAKER_11 | 0:30:5.504 --> 0:30:9.14 |  Нічого, нічого. Скоро повернеться кровопивця.
SPEAKER_17 | 0:30:12.136 --> 0:30:14.212 |  Ба, а як попасти в те метро?
SPEAKER_11 | 0:30:14.212 --> 0:30:16.34 |  Не маніяк, не маніяк.
SPEAKER_14 | 0:30:16.34 --> 0:30:16.287 |  Дякую.
SPEAKER_17 | 0:30:16.844 --> 0:30:19.38 |  Є. Ба, як туди потрапити?
SPEAKER_14 | 0:30:19.814 --> 0:30:24.252 |  А я тебе навчу, дітко, якщо будеш бабу слухать. Вон, віднеси мій мішок.
SPEAKER_20 | 0:30:28.420 --> 0:30:32.150 |  О, ого-го, до хрена хліва!
SPEAKER_11 | 0:30:32.825 --> 0:30:35.35 |  О, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о,
SPEAKER_14 | 0:30:35.35 --> 0:30:57.580 |  Та довго вистачить, а? Нагляну. Там у нас ще є згущенка і сало. Половина мені, половина вам. Е, мать, треба на трьох ділити? Да. А от як підете в наступний раз в автолавку, то на трьох і поділите. Зараз я голодна, їсти хочу як вовк. Я поняла, я поняла.
SPEAKER_16 | 0:30:59.302 --> 0:31:1.6 |  А я комбайн полі.
SPEAKER_22 | 0:31:1.107 --> 0:31:2.947 |  Дирокі ми, компань!
SPEAKER_10 | 0:31:26.150 --> 0:31:28.478 |  Ось такий.
SPEAKER_11 | 0:31:40.797 --> 0:31:42.653 |  Вова, ну як так можна на сикет?
SPEAKER_33 | 0:31:43.480 --> 0:31:43.987 |  Дякую за перегляд!
SPEAKER_11 | 0:31:45.607 --> 0:31:50.787 |  Засирається по самі вуха. Чи не вчинили сраку підтирати?
SPEAKER_08 | 0:31:52.880 --> 0:31:53.791 |  Славка!
SPEAKER_14 | 0:31:56.69 --> 0:32:0.305 |  Слав, дивись, що мені мавка на хліб виміняла.
SPEAKER_11 | 0:32:5.536 --> 0:32:10.666 |  Мать, ти що, взагалі вже? Яка ще мамка?
SPEAKER_14 | 0:32:11.628 --> 0:32:24.301 |  Обикновєнно я йду навпростець лісом, чую, хтось стогне, хліба просить. Я взяла хлібчик, поставила на вербочку, іду далі, дивись, грибок.
SPEAKER_11 | 0:32:27.659 --> 0:32:45.833 |  Який це гриб? Це поганка. Диви, вона аж світиться вся. Послухай, мать, ти мені вдома всяких гадостей не тягни. Не сама тут живеш, понятно?
